fundraising_year,loans_all,loans_main,median_funding_hours,mean_log_fh,median_pool_active,median_lag_kish,retention_pct
2016,129660,102468,41.3475,3.677880005236535,468.0,1171.72805893772,79.03
2017,162622,153563,26.67736111111111,3.3459152838002835,417.0,1452.602126777867,94.43
2018,153492,145009,26.371388888888887,3.3898160213512494,438.0,1453.057724777547,94.47
2019,144043,133897,41.38027777777778,3.7229569491354058,506.0,1248.3494610900048,92.96
2020,135383,127096,109.7025,4.407339431618835,1202.0,1539.7784763551756,93.88
2021,163166,153903,123.47986111111112,4.441051808903195,1286.5,1706.3545726963557,94.32
2022,143354,136845,111.79777777777778,4.409172831390979,1112.0,1592.0779986665982,95.46
2023,143233,141316,128.37194444444444,4.512251543130194,1126.0,1574.67490461268,98.66
2024,141725,140034,107.64,4.462995334514125,1024.0,1517.2560274961431,98.81
2025,137162,133409,61.32083333333333,4.045950957807907,754.0,1513.510038939902,97.26
