variable,n,n_missing,pct_missing,n_inf
active_raw_Cz,1234131,0,0.0,0
active_raw_Hz,1234131,0,0.0,0
active_raw_CH,1234131,0,0.0,0
active_raw_Vz,1234131,0,0.0,0
active_raw_Gz,1234131,0,0.0,0
active_raw_VG,1234131,0,0.0,0
log_loan_amount,1234131,0,0.0,0
log_borrower_count,1234131,0,0.0,0
log_repayment_term,1234131,0,0.0,0
log_platform_posting_7d,1234131,0,0.0,0
log_funding_hours,1234131,0,0.0,0
funding_hours,1234131,0,0.0,0
boilerplate_share,1234131,0,0.0,0
H_active_residual,1234131,84925,6.8814,0
G_lag_residual,1234131,84925,6.8814,0
pool_size_active,1234131,0,0.0,0
lag_kish_n,1234131,0,0.0,0
