var_a,var_b,corr,method
active_raw_Cz,pool_size_active,1.0,spearman_300k
active_raw_Vz,lag_kish_n,0.9645335107374993,spearman_300k
active_raw_Vz,lag_kish_n,0.8870947832534161,pearson
active_raw_Hz,active_raw_Gz,0.8651052979817512,spearman_300k
active_raw_Cz,active_raw_Vz,0.846423202393961,pearson
active_raw_Cz,pool_size_active,0.8308744217964923,pearson
pool_size_active,lag_kish_n,0.8069735173093335,spearman_300k
active_raw_Cz,lag_kish_n,0.8069735173093335,spearman_300k
active_raw_Cz,lag_kish_n,0.8022491883993678,pearson
active_raw_Cz,active_raw_Vz,0.7687831799200747,spearman_300k
active_raw_Vz,pool_size_active,0.7687831799200747,spearman_300k
pool_size_active,lag_kish_n,0.7671324911830751,pearson
active_raw_Hz,active_raw_Gz,0.7602806286836634,pearson
active_raw_Vz,pool_size_active,0.6626490795533551,pearson
active_raw_CH,active_raw_VG,0.6145764208506747,spearman_300k
log_loan_amount,log_funding_hours,0.5412856237670268,spearman_300k
active_raw_Gz,active_raw_VG,-0.5377173692649561,pearson
log_loan_amount,log_funding_hours,0.5059005261467947,pearson
active_raw_CH,active_raw_VG,0.5010387430689263,pearson
active_raw_Gz,boilerplate_share,0.48520864523844837,spearman_300k
active_raw_Hz,boilerplate_share,0.4584092448949791,spearman_300k
active_raw_Hz,active_raw_VG,-0.42062093496885566,pearson
active_raw_Hz,active_raw_CH,-0.41275823775918913,pearson
log_repayment_term,log_funding_hours,0.3910744424867539,spearman_300k
log_repayment_term,log_funding_hours,0.38646396376052805,pearson
active_raw_VG,lag_kish_n,-0.3643714793310578,spearman_300k
active_raw_Vz,active_raw_VG,-0.3589265540581541,spearman_300k
log_loan_amount,log_borrower_count,0.34163845159625333,pearson
active_raw_Gz,log_loan_amount,-0.3278725182509392,spearman_300k
active_raw_Gz,log_loan_amount,-0.32050409855498185,pearson
active_raw_CH,active_raw_Gz,-0.292368787691367,pearson
active_raw_CH,lag_kish_n,-0.28387787186383245,spearman_300k
active_raw_Hz,log_loan_amount,-0.2810267834484535,pearson
active_raw_Hz,log_loan_amount,-0.2729131712843469,spearman_300k
active_raw_CH,active_raw_Vz,-0.2689067610406012,spearman_300k
log_loan_amount,log_repayment_term,0.2540889899340868,pearson
active_raw_Cz,active_raw_Gz,-0.2507838386728475,pearson
active_raw_Gz,lag_kish_n,-0.24552122457125106,pearson
log_loan_amount,log_repayment_term,0.2412382204571531,spearman_300k
active_raw_Hz,active_raw_Vz,-0.24104509304139127,pearson
active_raw_Cz,active_raw_CH,-0.24090323834638075,spearman_300k
active_raw_CH,pool_size_active,-0.24090323834638075,spearman_300k
active_raw_Vz,active_raw_Gz,-0.22860445471397678,pearson
log_funding_hours,pool_size_active,0.2210575528365329,spearman_300k
active_raw_Cz,log_funding_hours,0.2210575528365329,spearman_300k
active_raw_Hz,boilerplate_share,0.21911870197198044,pearson
log_repayment_term,boilerplate_share,-0.21548472679668196,spearman_300k
active_raw_Hz,lag_kish_n,-0.2151828856627759,pearson
log_loan_amount,log_borrower_count,0.21428472449574532,spearman_300k
log_repayment_term,boilerplate_share,-0.2124682150184036,pearson
active_raw_Cz,active_raw_CH,0.21087450405357075,pearson
boilerplate_share,pool_size_active,0.2081745350432352,spearman_300k
active_raw_Cz,boilerplate_share,0.2081745350432352,spearman_300k
active_raw_Cz,active_raw_VG,-0.20705886376922059,spearman_300k
active_raw_VG,pool_size_active,-0.20705886376922059,spearman_300k
active_raw_Gz,boilerplate_share,0.20672847328981728,pearson
active_raw_VG,log_loan_amount,0.2052271710235257,pearson
active_raw_Cz,log_funding_hours,0.20269263955231812,pearson
log_borrower_count,log_repayment_term,-0.20051073991723145,spearman_300k
log_funding_hours,pool_size_active,0.199729858891728,pearson
active_raw_Gz,log_funding_hours,-0.193983352712823,pearson
boilerplate_share,pool_size_active,0.19078398888227624,pearson
log_borrower_count,log_repayment_term,-0.18756007231344088,pearson
active_raw_Vz,active_raw_Gz,-0.17826112017318801,spearman_300k
active_raw_Cz,boilerplate_share,0.17704443676712736,pearson
active_raw_Gz,pool_size_active,-0.1722051684748199,pearson
log_loan_amount,boilerplate_share,-0.1707821317763618,pearson
log_platform_posting_7d,pool_size_active,0.16891642007628874,pearson
active_raw_Vz,boilerplate_share,0.1687742364437707,pearson
active_raw_Gz,log_funding_hours,-0.16785278451281244,spearman_300k
active_raw_Hz,active_raw_Vz,-0.16677318088250875,spearman_300k
active_raw_Gz,lag_kish_n,-0.16620554350137773,spearman_300k
active_raw_VG,log_funding_hours,0.15629411076070224,pearson
active_raw_Cz,active_raw_Hz,-0.15317914161023438,pearson
log_loan_amount,boilerplate_share,-0.1525196420960144,spearman_300k
active_raw_Cz,log_platform_posting_7d,0.15207500686356737,spearman_300k
log_platform_posting_7d,pool_size_active,0.15207500686356737,spearman_300k
active_raw_Hz,lag_kish_n,-0.14210201825381472,spearman_300k
boilerplate_share,lag_kish_n,0.14193940131794325,pearson
boilerplate_share,lag_kish_n,0.13955601323132724,spearman_300k
active_raw_Vz,boilerplate_share,0.13106992770019202,spearman_300k
active_raw_VG,boilerplate_share,0.13019874002887064,spearman_300k
active_raw_Cz,log_repayment_term,-0.12866555434842092,pearson
active_raw_CH,pool_size_active,0.12786519936455729,pearson
active_raw_Hz,log_platform_posting_7d,0.12147468642291748,spearman_300k
log_funding_hours,lag_kish_n,0.12052753226339198,pearson
active_raw_CH,boilerplate_share,0.12047567066652409,spearman_300k
active_raw_CH,log_repayment_term,-0.11975012596790503,spearman_300k
active_raw_Vz,log_repayment_term,-0.11947257069431257,pearson
log_funding_hours,lag_kish_n,0.11894297670350275,spearman_300k
active_raw_CH,log_loan_amount,0.11765514767159259,pearson
active_raw_VG,log_borrower_count,-0.11346510717668692,spearman_300k
active_raw_Gz,log_repayment_term,-0.11325027133227922,spearman_300k
active_raw_Cz,log_platform_posting_7d,0.11179515061221414,pearson
active_raw_Vz,log_funding_hours,0.11166832855357053,spearman_300k
active_raw_Cz,active_raw_VG,0.11015495505178682,pearson
active_raw_Hz,log_platform_posting_7d,0.1075641438827946,pearson
active_raw_CH,active_raw_Gz,0.10564289474178168,spearman_300k
active_raw_CH,active_raw_Vz,0.10165868147661443,pearson
active_raw_CH,log_funding_hours,0.09995360738779185,pearson
active_raw_VG,log_loan_amount,0.0996246703280146,spearman_300k
log_borrower_count,lag_kish_n,0.09597256952693667,pearson
active_raw_Gz,log_platform_posting_7d,0.09544468023715647,spearman_300k
active_raw_VG,log_repayment_term,-0.09399604887904761,spearman_300k
log_borrower_count,log_funding_hours,0.09228594542000715,pearson
active_raw_Vz,active_raw_VG,0.09193601240779138,pearson
active_raw_Vz,log_funding_hours,0.08694339172642573,pearson
log_platform_posting_7d,boilerplate_share,0.08646191687415657,pearson
active_raw_Cz,active_raw_Gz,-0.0844639458434203,spearman_300k
active_raw_Gz,pool_size_active,-0.0844639458434203,spearman_300k
active_raw_CH,lag_kish_n,0.08435441171521489,pearson
log_funding_hours,boilerplate_share,-0.08276666462822249,pearson
active_raw_CH,log_repayment_term,-0.08273729912041147,pearson
log_platform_posting_7d,boilerplate_share,0.08271337189479717,spearman_300k
active_raw_Gz,log_platform_posting_7d,0.0823202417031963,pearson
active_raw_Vz,log_borrower_count,0.08219534766848482,pearson
active_raw_Hz,active_raw_CH,0.07974226012383975,spearman_300k
active_raw_Gz,log_repayment_term,-0.07581030847713069,pearson
active_raw_VG,pool_size_active,0.07485703291688407,pearson
log_funding_hours,boilerplate_share,-0.07254753914232033,spearman_300k
active_raw_Hz,pool_size_active,-0.0687191961317234,pearson
log_repayment_term,pool_size_active,-0.06825907745129832,spearman_300k
active_raw_Cz,log_repayment_term,-0.06825907745129832,spearman_300k
log_repayment_term,log_platform_posting_7d,-0.06753470472034775,pearson
active_raw_CH,log_platform_posting_7d,0.06690166394472853,pearson
active_raw_Hz,log_funding_hours,-0.06682185317061276,pearson
active_raw_Hz,active_raw_VG,0.06551958785931668,spearman_300k
log_repayment_term,log_platform_posting_7d,-0.06531692216361913,spearman_300k
log_repayment_term,pool_size_active,-0.06254127276677376,pearson
active_raw_Vz,log_borrower_count,0.06028626680131728,spearman_300k
log_loan_amount,log_platform_posting_7d,-0.057997584705708476,pearson
log_loan_amount,log_platform_posting_7d,-0.05704701187518401,spearman_300k
log_borrower_count,log_funding_hours,0.05608000692671609,spearman_300k
active_raw_VG,lag_kish_n,0.05606239669743518,pearson
active_raw_CH,log_borrower_count,-0.054519312322688016,spearman_300k
active_raw_Gz,active_raw_VG,0.05244320075134888,spearman_300k
log_borrower_count,lag_kish_n,0.051148247928111575,spearman_300k
active_raw_VG,log_funding_hours,0.050805400699975696,spearman_300k
active_raw_CH,log_platform_posting_7d,0.04944357470099801,spearman_300k
active_raw_Vz,log_loan_amount,0.04853973811612977,spearman_300k
active_raw_CH,log_borrower_count,-0.04576627125803201,pearson
active_raw_VG,log_borrower_count,-0.04537409529258362,pearson
log_borrower_count,log_platform_posting_7d,-0.04355459661515684,spearman_300k
