,active_raw_Cz,active_raw_Hz,active_raw_CH,active_raw_Vz,active_raw_Gz,active_raw_VG,log_loan_amount,log_borrower_count,log_repayment_term,log_platform_posting_7d,log_funding_hours,boilerplate_share,pool_size_active,lag_kish_n
active_raw_Cz,1.0,-0.1532,0.2109,0.8464,-0.2508,0.1102,0.0154,0.0176,-0.1287,0.1118,0.2027,0.177,0.8309,0.8022
active_raw_Hz,-0.1532,1.0,-0.4128,-0.241,0.7603,-0.4206,-0.281,0.022,-0.0202,0.1076,-0.0668,0.2191,-0.0687,-0.2152
active_raw_CH,0.2109,-0.4128,1.0,0.1017,-0.2924,0.501,0.1177,-0.0458,-0.0827,0.0669,0.1,-0.0382,0.1279,0.0844
active_raw_Vz,0.8464,-0.241,0.1017,1.0,-0.2286,0.0919,0.0192,0.0822,-0.1195,0.0279,0.0869,0.1688,0.6626,0.8871
active_raw_Gz,-0.2508,0.7603,-0.2924,-0.2286,1.0,-0.5377,-0.3205,0.0428,-0.0758,0.0823,-0.194,0.2067,-0.1722,-0.2455
active_raw_VG,0.1102,-0.4206,0.501,0.0919,-0.5377,1.0,0.2052,-0.0454,-0.0172,0.0018,0.1563,-0.0193,0.0749,0.0561
log_loan_amount,0.0154,-0.281,0.1177,0.0192,-0.3205,0.2052,1.0,0.3416,0.2541,-0.058,0.5059,-0.1708,-0.0335,0.0212
log_borrower_count,0.0176,0.022,-0.0458,0.0822,0.0428,-0.0454,0.3416,1.0,-0.1876,-0.0418,0.0923,0.0315,0.0313,0.096
log_repayment_term,-0.1287,-0.0202,-0.0827,-0.1195,-0.0758,-0.0172,0.2541,-0.1876,1.0,-0.0675,0.3865,-0.2125,-0.0625,-0.0377
log_platform_posting_7d,0.1118,0.1076,0.0669,0.0279,0.0823,0.0018,-0.058,-0.0418,-0.0675,1.0,-0.016,0.0865,0.1689,-0.0227
log_funding_hours,0.2027,-0.0668,0.1,0.0869,-0.194,0.1563,0.5059,0.0923,0.3865,-0.016,1.0,-0.0828,0.1997,0.1205
boilerplate_share,0.177,0.2191,-0.0382,0.1688,0.2067,-0.0193,-0.1708,0.0315,-0.2125,0.0865,-0.0828,1.0,0.1908,0.1419
pool_size_active,0.8309,-0.0687,0.1279,0.6626,-0.1722,0.0749,-0.0335,0.0313,-0.0625,0.1689,0.1997,0.1908,1.0,0.7671
lag_kish_n,0.8022,-0.2152,0.0844,0.8871,-0.2455,0.0561,0.0212,0.096,-0.0377,-0.0227,0.1205,0.1419,0.7671,1.0
