variable,var_raw,var_after_FE,share_within_FE_pct,share_absorbed_by_FE_pct
log_funding_hours,4.256492525032419,3.039908187693963,71.42,28.58
active_raw_Cz,1.0000000000000056,0.09563349593276986,9.56,90.44
active_raw_Hz,1.0000000000144416,0.4845233216068785,48.45,51.55
active_raw_CH,1.4262860275399845,0.8242852070445117,57.79,42.21
active_raw_Vz,1.0000000001348812,0.08231512890673949,8.23,91.77
active_raw_Gz,0.9999999989992563,0.34903963763805307,34.9,65.1
active_raw_VG,0.9753427383881556,0.5700440160323325,58.45,41.55
log_loan_amount,0.6751053456099804,0.3889360812957543,57.61,42.39
log_borrower_count,0.17544663790635845,0.10388209499019026,59.21,40.79
log_repayment_term,0.11731236525286616,0.06145541093588894,52.39,47.61
log_platform_posting_7d,0.13727708795882698,0.051436521673128247,37.47,62.53
