C_tercile,H_decile,n,mean_log_fh,median_fh,pct_funded_72h
C_low,0,46019,3.7630451908390414,46.51222222222222,56.14420130815533
C_low,1,35204,3.77866278962748,48.92236111111111,55.06760595386888
C_low,2,33605,3.711187250123354,45.05361111111111,56.07796458860289
C_low,3,34442,3.577798149111031,37.64513888888889,57.984437605249404
C_low,4,35954,3.5627972297609607,36.88249999999999,57.71263280858875
C_low,5,37460,3.713899677042117,45.607083333333335,55.28296849973305
C_low,6,38982,3.906001071673332,57.60652777777778,52.490893232774106
C_low,7,42870,3.872464733486392,49.69541666666667,54.56029857709353
C_low,8,45115,3.5934140731200985,28.826666666666668,61.9306217444309
C_low,9,61810,2.989707818075268,16.76972222222222,77.45995793560913
C_mid,0,47246,4.206167659609524,89.66430555555556,47.02197011387207
C_mid,1,52278,4.132841546853721,82.91208333333333,48.09862657331956
C_mid,2,52848,4.060573934445642,76.50708333333333,49.192022403875264
C_mid,3,52364,3.9401480463313003,67.67305555555555,50.95103506225651
C_mid,4,49332,3.876335619190113,63.23166666666667,51.82640071353279
C_mid,5,44988,3.755369065079427,51.47361111111111,54.014403841024276
C_mid,6,36506,3.821586525578464,51.443194444444444,53.97194981646852
C_mid,7,26886,4.04725377293633,67.29319444444445,51.00795953284237
C_mid,8,27669,4.307409681776372,94.81555555555556,46.365969135133184
C_mid,9,21600,4.1078199533243485,82.42430555555555,47.342592592592595
C_high,0,30149,4.570947239129821,140.58916666666667,40.532024279412255
C_high,1,35931,4.437224644494887,119.31861111111111,42.809829951852166
C_high,2,36960,4.474334959064447,128.05277777777778,41.70995670995671
C_high,3,36607,4.557993495512766,148.15805555555556,39.94591198404677
C_high,4,38127,4.653767661721263,169.9175,37.78687019697327
C_high,5,40966,4.588136259550962,155.99625,39.261826880828
C_high,6,47924,4.618426189432848,153.60555555555555,38.801018278941655
C_high,7,53657,4.6524569599443195,153.84333333333333,38.22427642246119
C_high,8,50629,4.736211828501593,186.15333333333334,37.35211045053231
C_high,9,40003,4.726997891434883,162.9375,37.047221458390624
