decile,n,mean_outcome,median_outcome,bin_min,bin_max,bin_mean,variable,outcome,view
0,124649,3.2530495625291156,3.0275269777547287,-3.023852825164795,-1.6007845401763916,-2.181157350540161,active_raw_Cz,log_funding_hours,raw
1,122955,3.9417147503667502,4.023375533071968,-1.5893796682357788,-0.8273999094963074,-1.1786575317382812,active_raw_Cz,log_funding_hours,raw
2,122774,3.7316812390802734,3.813276372050881,-0.8231426477432251,-0.25043559074401855,-0.5062092542648315,active_raw_Cz,log_funding_hours,raw
3,123749,3.4496530974646973,3.466265276545606,-0.2483985275030136,0.04495256766676903,-0.0965675413608551,active_raw_Cz,log_funding_hours,raw
4,123183,3.859508764935565,4.052615520656554,0.04634883999824524,0.3327614665031433,0.19977660477161407,active_raw_Cz,log_funding_hours,raw
5,123484,4.271295012164086,4.596457339072845,0.33372771739959717,0.4985292851924896,0.42316389083862305,active_raw_Cz,log_funding_hours,raw
6,123327,4.389168895625275,4.760058688795115,0.4993109107017517,0.6299359798431396,0.5656331181526184,active_raw_Cz,log_funding_hours,raw
7,123641,4.530875992380662,4.9074740044576535,0.6305966377258301,0.77049320936203,0.6992883086204529,active_raw_Cz,log_funding_hours,raw
8,123109,4.621308897872174,5.008599890734185,0.7710450887680054,1.0076946020126343,0.8765279054641724,active_raw_Cz,log_funding_hours,raw
9,123260,4.745131020427919,5.360214381143718,1.0081019401550293,1.7009397745132446,1.2162123918533325,active_raw_Cz,log_funding_hours,raw
0,123414,-0.4257337919663099,-0.4483882123353693,-2.222392415441989,-0.3292234063897879,-0.5793836396068033,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
1,123413,-0.23672727425984097,-0.16689662979418635,-0.3292202693433152,-0.1905465431614643,-0.24993023319119462,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
2,123413,-0.1286497170741852,-0.005976015943046224,-0.1905451837463763,-0.1118318764574556,-0.14881993952739275,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
3,123415,-0.05417330102273313,0.10119728911508441,-0.11183134254900622,-0.049332602208806114,-0.08008011127281746,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
