x_bin,y_bin,n,mean,median,std,x_var,y_var,outcome,view
0,0,38397,4.362435703983751,4.6343513549071,1.913934299387488,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
0,1,33141,4.382513207011462,4.670950123749086,1.9023773134687287,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
0,2,41217,4.352486027401207,4.658926832719298,1.9409996153499374,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
0,3,52913,4.132745856881639,4.320579626179091,1.993772336287439,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
0,4,81159,2.884061852981827,2.6365939806005265,1.8010489382817474,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
1,0,45295,4.474048704270943,4.884149919354256,1.9637248099389801,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
1,1,34659,4.3341189160360045,4.686524853179072,1.989849006527241,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
1,2,36971,4.1950462985357,4.457452933881067,1.986887545050055,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
1,3,43251,3.934035933229817,4.084607495663524,2.0704797733032767,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
1,4,86650,3.515244784965246,3.431933124941068,1.8933716567638312,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
2,0,61548,4.241939888302064,4.5530607673012655,1.9623993374168422,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
2,1,62470,4.022544971845877,4.258058495009601,2.026727416261741,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
2,2,53973,3.848265828039713,4.063154847432062,2.1024515736029197,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
2,3,46401,3.4649374306005303,3.517357702251357,2.243341781098743,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
2,4,22434,3.281792093445582,3.2158044441077998,2.3351781708871004,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
3,0,58496,4.47222478594837,4.866239809349952,1.9667044259233362,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
3,1,62015,4.382480992799662,4.778892373968583,1.991917646647167,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
3,2,54316,4.263540963189869,4.652794325500529,2.0714719640268204,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
3,3,46287,3.7696967412580142,3.9510139913414446,2.2127845004991475,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
3,4,25713,3.954147781666333,4.099870930347631,2.1394079913940978,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
4,0,43093,4.591676977661067,5.014129183350511,1.9356667961995047,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
4,1,54539,4.619208404245834,5.143888175717967,1.9726655036597718,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
4,2,60349,4.585452593207931,5.147266737704576,2.0050037873052973,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
4,3,57974,4.299297732709919,4.751409894523835,2.1056386675230527,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
4,4,30870,4.35366361599968,4.7342959690758715,2.0474078822079695,active_raw_Vz,active_raw_Gz,log_funding_hours,raw
0,0,82183,-0.04785809657669341,-0.014684988370910331,1.7380022126716161,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
0,1,49593,-0.1249060669212456,-0.011823860490532667,1.7265833347887507,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
0,2,42830,-0.08545058454347954,0.09063512243446317,1.753780399597187,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
0,3,34816,-0.1149156463384214,0.051820168871045055,1.7037007912390685,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
0,4,37405,-0.27330749058575565,-0.2768725240798424,1.6521381877206118,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
1,0,41460,0.00894481097061097,0.06694185503212521,1.7758494301459724,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
1,1,50480,-0.04385497868323034,0.13119725449535333,1.7677230403469895,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
1,2,56528,0.013690787339334641,0.19701948756457144,1.7736544612811385,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
1,3,57805,0.012685680116121983,0.20662922061630348,1.7388144986965972,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
1,4,40554,-0.020472257319235354,0.12360558907149297,1.7055958927405943,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
2,0,37174,0.01912968770633928,0.11498360154030063,1.8364499256196027,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
2,1,52159,-0.013330720198009445,0.1780359770433784,1.7963836062821505,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
2,2,55061,0.01513739182548214,0.26671999022663906,1.7841929787669883,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
2,3,59249,-0.036016507302353756,0.17826527426964883,1.7355059459861386,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
2,4,43182,0.048162931977673365,0.26626845604045907,1.700931729393976,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
3,0,41047,0.0630440046458409,0.1819184505957051,1.8439146555661785,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
3,1,52176,-0.026382061517245554,0.24198571116824025,1.8278816161581493,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
3,2,53649,8.688839122812411e-05,0.2891633392083169,1.7748786541737414,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
3,3,54813,-0.002796448854513091,0.27353193843565576,1.6967876473302674,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
3,4,45141,0.059025729504339534,0.3017654719500433,1.6922403096795364,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
4,0,44963,0.20898441043937133,0.35962617961744986,1.7284233883664277,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
4,1,42419,0.06278980744687286,0.29174082205624347,1.7366693678752443,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
4,2,38765,0.06244319284388048,0.31358782675166946,1.6933724958467744,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
4,3,40135,0.011577485366878382,0.2767295736389041,1.6537327945535525,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
4,4,80544,0.12055300810261947,0.2772063366577381,1.6805173620617866,dm_active_raw_Vz,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
