variable,grouping,var_total,var_between,var_within,between_share_pct,n_groups
H_active_raw,sector,0.021979106428560376,0.007334569642682708,0.014644536785877668,33.37,17
H_active_raw,country_name,0.021979106428560376,0.003432170900583214,0.018546935527977162,15.62,46
H_active_raw,activity,0.021979106428560376,0.008814780353675802,0.013164326074884575,40.11,157
H_active_raw,fundraising_year,0.021979106428560376,0.0006327277796934282,0.02134637864886695,2.88,9
G_lag_raw,sector,0.023710341126679985,0.011357941674014684,0.012352399452665301,47.9,17
G_lag_raw,country_name,0.023710341126679985,0.005638843097644756,0.01807149802903523,23.78,46
G_lag_raw,activity,0.023710341126679985,0.013398398168920175,0.01031194295775981,56.51,157
G_lag_raw,fundraising_year,0.023710341126679985,0.00030648274532396597,0.02340385838135602,1.29,9
C_active,sector,1.6385529463536825,1.313991628618437,0.32456131773524555,80.19,17
C_active,country_name,1.6385529463536825,0.27716991293794,1.3613830334157426,16.92,46
C_active,activity,1.6385529463536825,1.3182013656810694,0.32035158067261316,80.45,157
C_active,fundraising_year,1.6385529463536825,0.173028876116803,1.4655240702368795,10.56,9
V_lag,sector,1.1325299765627876,0.9748646278462609,0.1576653487165267,86.08,17
V_lag,country_name,1.1325299765627876,0.1555692661738942,0.9769607103888934,13.74,46
V_lag,activity,1.1325299765627876,0.9816638563239939,0.15086612023879375,86.68,157
V_lag,fundraising_year,1.1325299765627876,0.007651818961504515,1.1248781576012832,0.68,9
log_funding_hours,sector,4.256492525032419,0.19931509127237246,4.057177433760047,4.68,17
log_funding_hours,country_name,4.256492525032419,0.5590977157079504,3.697394809324469,13.14,46
log_funding_hours,activity,4.256492525032419,0.36635410210331565,3.8901384229291036,8.61,157
log_funding_hours,fundraising_year,4.256492525032419,0.2312157303321191,4.0252767947003,5.43,9
