sector,fundraising_year,n,median_fh,mean_H,mean_CH
Agriculture,2016,28048,62.75888888888889,0.05326398512499071,-0.10735011
Agriculture,2017,43443,58.245555555555555,0.04504414059866924,-0.19421236
Agriculture,2018,43966,51.96486111111111,0.045469877227703105,-0.19001193
Agriculture,2019,39437,95.52222222222223,0.060288773197179464,-0.15615761
Agriculture,2020,46189,148.9363888888889,0.08780775814617953,-0.08426397
Agriculture,2021,58773,208.25833333333333,0.09046702834381874,-0.087870754
Agriculture,2022,48585,127.21305555555556,0.08632318151975152,-0.09928943
Agriculture,2023,46423,140.47944444444445,0.06453124343962205,-0.2227336
Agriculture,2024,47731,106.48583333333333,0.06196260079054954,-0.212714
Arts,2016,1174,28.9025,0.09924969639875278,0.04343123
Arts,2017,2604,27.48027777777778,0.15649066138994533,-0.60916454
Arts,2018,3301,38.848333333333336,0.13585223241284414,-0.3546781
Arts,2019,855,20.725833333333334,0.07522185388639921,0.53937876
Arts,2020,610,27.43277777777778,0.07102813953014235,0.571393
Arts,2021,1520,92.88138888888889,0.07635709658184052,0.33203158
Arts,2022,859,116.94916666666667,0.05301761162396792,0.73425555
Arts,2023,1359,169.71194444444444,0.06317167275164047,0.5022774
Arts,2024,1236,88.5923611111111,0.06817081556547232,0.5139413
Clean Energy,2016,1597,18.293333333333333,0.10422180313370723,0.008712362
Clean Energy,2017,3826,4.574861111111112,0.12216181449764763,-0.26860574
Clean Energy,2018,1097,3.6730555555555555,0.1753519970496911,-1.1896979
Clean Energy,2019,809,5.187777777777778,0.3980416982325111,-5.170418
Clean Energy,2020,1824,5.048333333333334,0.42339150952494364,-5.2524295
Clean Energy,2021,3523,6.001944444444445,0.5574277855319093,-6.533357
Clean Energy,2022,3369,6.976666666666667,0.6129103662899196,-6.087871
Clean Energy,2023,3864,5.805694444444445,0.631249132173056,-6.2965136
Clean Energy,2024,1181,6.3966666666666665,0.41177457164006,-5.39621
Clothing,2016,2969,165.19055555555556,0.06762183509304844,0.28843403
Clothing,2017,4658,82.43277777777777,0.05312694615308087,0.4126127
Clothing,2018,5059,77.46944444444445,0.055121281041261676,0.37535667
Clothing,2019,3858,108.85458333333332,0.058826906241670925,0.37435985
Clothing,2020,3241,209.06972222222223,0.0781958575584913,0.2386196
Clothing,2021,4392,193.85041666666666,0.0857537509094662,0.12198579
Clothing,2022,4088,211.53666666666666,0.07438856240587345,0.1819932
Clothing,2023,4030,255.71944444444443,0.07451660153331383,0.17936449
Clothing,2024,3638,247.85875,0.07606566668887821,0.18086836
Construction,2016,734,96.53194444444443,0.03482790658413007,1.140287
Construction,2017,987,60.33722222222222,0.036955448665759255,1.1078999
Construction,2018,1363,54.36972222222222,0.04127877863577356,0.9811564
Construction,2019,1058,89.08125000000001,0.03888983791930673,1.0146226
Construction,2020,865,128.2488888888889,0.03818033341084448,0.9547213
Construction,2021,1025,167.98611111111111,0.05149998312184615,0.7131477
Construction,2022,983,210.88361111111112,0.05957291980888581,0.5884682
Construction,2023,1002,366.5763888888889,0.061778258948309094,0.5168091
Construction,2024,1060,272.97916666666663,0.04826886240700282,0.68682134
Education,2016,3952,28.612222222222222,0.17373799693986294,-0.5961322
Education,2017,4807,20.274722222222223,0.11886705752776686,-0.1742878
Education,2018,5018,8.911527777777778,0.10786045775745415,-0.022898486
Education,2019,4333,20.118055555555557,0.1450682729085428,-0.56373644
Education,2020,2971,51.40833333333333,0.14280238182585234,-0.4613714
Education,2021,3502,47.293194444444445,0.1608557985751281,-0.40778813
Education,2022,2923,47.37,0.18908812370325082,-1.1057317
Education,2023,3233,72.83777777777777,0.14076870914541564,-0.4426217
Education,2024,3321,64.94805555555556,0.15940560823410405,-0.5689144
Food,2016,21240,27.669583333333335,0.0332789214231424,0.0006928418
Food,2017,30789,20.649166666666666,0.03183989349301205,0.039602086
Food,2018,29785,21.872222222222224,0.0309366101949253,0.027642462
Food,2019,25558,45.66430555555556,0.034072761755598445,-0.0034961682
Food,2020,27741,121.2925,0.060621815741831245,-0.08758931
Food,2021,31107,124.21277777777777,0.06574072103898011,-0.124583445
Food,2022,30600,136.68902777777777,0.05201274566312553,-0.18208733
Food,2023,32933,159.04805555555555,0.04451483629214485,-0.22459102
Food,2024,30140,149.9301388888889,0.04944111620172005,-0.1866782
Health,2016,1033,47.785555555555554,0.15399568643939607,-0.72838455
Health,2017,1528,39.94555555555556,0.2502771958894879,-2.2210028
Health,2018,2376,72.67972222222222,0.25137199830074236,-1.6521404
Health,2019,1762,51.58541666666666,0.10970010599541014,-0.052529767
Health,2020,1091,56.86333333333334,0.1224426629793924,-0.24129382
Health,2021,2113,159.05944444444444,0.17057456686758599,-0.6704922
Health,2022,1471,98.58611111111111,0.14983250898776046,-0.6181872
Health,2023,1446,170.17902777777778,0.11912904120394091,-0.1613317
Health,2024,1800,156.32111111111112,0.14904927237505688,-0.5141826
Housing,2016,4413,50.573055555555555,0.07281421521761768,0.28616443
Housing,2017,5894,19.345972222222223,0.09864247247623226,0.09472805
Housing,2018,6308,13.043611111111112,0.07025138907713456,0.29754332
Housing,2019,18086,22.170833333333334,0.5024483966146852,0.12727423
Housing,2020,7122,74.74527777777777,0.507500202769608,0.0026070059
Housing,2021,7983,50.88,0.3659245821532474,-0.60919523
Housing,2022,6259,23.87638888888889,0.2639401068650126,-0.66467583
Housing,2023,7715,18.762777777777778,0.12278118076525384,-0.021966085
Housing,2024,10256,21.591527777777777,0.2632371263800655,-0.4140706
Manufacturing,2016,310,41.77097222222223,0.03872217529492162,1.19226
Manufacturing,2017,382,22.476666666666667,0.042717703290014106,1.1471413
Manufacturing,2018,958,39.52375,0.038625411130680645,1.1730261
Manufacturing,2019,397,34.694722222222225,0.04503290358224539,1.0974368
Manufacturing,2020,192,32.74625,0.06570112787328121,0.7379671
Manufacturing,2021,273,23.523333333333333,0.11407143005406424,-0.14040796
Manufacturing,2022,342,40.596111111111114,0.048641244299543515,1.0411534
Manufacturing,2023,692,107.40416666666667,0.04764862677047503,0.94689226
Manufacturing,2024,653,53.77611111111111,0.05709283730749082,0.8146504
Personal Use,2016,7814,18.715000000000003,0.42271458892903263,-2.4788737
Personal Use,2017,11927,13.995833333333334,0.428511419175932,-2.6824698
Personal Use,2018,5363,3.178611111111111,0.19108016492448052,-1.2021067
Personal Use,2019,7386,4.9631944444444445,0.2812509072073908,-2.2092905
Personal Use,2020,2518,3.6820833333333334,0.19663828363787988,-0.8828755
Personal Use,2021,1960,31.03986111111111,0.27665658464000464,-1.67906
Personal Use,2022,1770,21.662916666666668,0.17780838432059595,-0.7278433
Personal Use,2023,1607,20.177222222222223,0.12273528138664186,-0.16583334
Personal Use,2024,2241,17.461944444444445,0.39036323933059386,-3.470889
Retail,2016,19720,24.43611111111111,0.04974635033749263,0.017501473
Retail,2017,27313,10.7025,0.04140439761439562,0.09997401
Retail,2018,25645,17.503888888888888,0.03798878713427774,0.09417265
Retail,2019,20602,48.918055555555554,0.060218626326160284,0.037418377
Retail,2020,25709,238.43027777777777,0.174209911886607,0.65124094
Retail,2021,30940,140.69722222222222,0.18846186642373497,0.4510212
Retail,2022,28782,173.62152777777777,0.15702950987595918,0.2754273
Retail,2023,28260,165.90680555555556,0.12373186773788375,0.118459545
Retail,2024,28361,162.81555555555556,0.16322493323918616,0.27644065
Reuse & Recycle,2016,1300,42.290000000000006,0.07883005894569006,0.36640817
Reuse & Recycle,2017,1780,40.06652777777778,0.07546685505133496,0.42297474
Reuse & Recycle,2018,2056,25.55513888888889,0.07349279057826745,0.44744185
Reuse & Recycle,2019,1934,29.424444444444443,0.07935688429251785,0.35773435
Reuse & Recycle,2020,1369,86.62222222222222,0.0795841464666554,0.30888706
Reuse & Recycle,2021,1485,73.50444444444445,0.07878129588831358,0.35356656
Reuse & Recycle,2022,1832,92.60791666666667,0.08857239635475712,0.17311065
Reuse & Recycle,2023,1929,125.00638888888889,0.07559203000131562,0.32310864
Reuse & Recycle,2024,1664,91.82430555555555,0.07477777532573986,0.36751512
Services,2016,5995,142.18527777777777,0.04009669132643408,0.30722278
Services,2017,10001,126.65416666666667,0.04023532587198713,0.21823098
Services,2018,9248,118.80638888888889,0.03855415910674373,0.23328036
Services,2019,6046,79.57027777777778,0.03548515120074565,0.45578426
Services,2020,4449,112.99222222222222,0.04004697748059473,0.44234315
Services,2021,4286,151.20805555555557,0.03601704582641944,0.43752116
Services,2022,4128,147.90777777777777,0.029510991762232656,0.5197696
Services,2023,5479,219.8,0.031244163047423716,0.33812848
Services,2024,5469,203.1263888888889,0.03699234200817743,0.33606932
Transportation,2016,2169,155.6677777777778,0.06846760323277715,0.32177702
Transportation,2017,3624,150.07888888888888,0.06559135528345783,0.31347713
Transportation,2018,3466,183.39402777777778,0.06535768686780927,0.30514187
Transportation,2019,1776,169.72444444444443,0.06512821435277183,0.434619
Transportation,2020,1205,340.2925,0.06284182765800655,0.45358923
Transportation,2021,1020,317.37916666666666,0.0799499949260596,0.28830624
Transportation,2022,854,251.7575,0.062342070865810034,0.5421676
Transportation,2023,1327,131.52722222222224,0.06349261460763118,0.5168852
Transportation,2024,1281,92.87805555555556,0.0791126162627487,0.3131124
Water,2021,1,0.5780555555555555,0.11617137824089449,-0.25765118
Water,2024,1,25.778055555555557,0.025769848709531314,1.5862235
Wholesale,2023,17,350.3497222222222,0.0663062895555087,0.66990817
Wholesale,2024,1,405.5111111111111,0.1476792492031179,-0.90030146
