bin_left,bin_right,count,share_pct,hours_left,hours_right
0.0033,0.1422,10026,0.8124,0.0033,0.1528
0.1422,0.281,14818,1.2007,0.1528,0.3245
0.281,0.4198,33528,2.7167,0.3245,0.5217
0.4198,0.5587,13172,1.0673,0.5217,0.7484
0.5587,0.6975,14393,1.1662,0.7484,1.0088
0.6975,0.8364,16369,1.3264,1.0088,1.308
0.8364,0.9752,17769,1.4398,1.308,1.6517
0.9752,1.114,18595,1.5067,1.6517,2.0466
1.114,1.2529,18792,1.5227,2.0466,2.5004
1.2529,1.3917,19226,1.5579,2.5004,3.0217
1.3917,1.5306,18965,1.5367,3.0217,3.6207
1.5306,1.6694,18814,1.5245,3.6207,4.3089
1.6694,1.8082,18505,1.4994,4.3089,5.0997
1.8082,1.9471,18395,1.4905,5.0997,6.0081
1.9471,2.0859,18190,1.4739,6.0081,7.0519
2.0859,2.2247,18217,1.4761,7.0519,8.2512
2.2247,2.3636,18266,1.4801,8.2512,9.629
2.3636,2.5024,18689,1.5143,9.629,11.2121
2.5024,2.6413,19221,1.5575,11.2121,13.0309
2.6413,2.7801,20050,1.6246,13.0309,15.1207
2.7801,2.9189,21442,1.7374,15.1207,17.5217
2.9189,3.0578,24344,1.9726,17.5217,20.2803
3.0578,3.1966,26879,2.178,20.2803,23.4497
3.1966,3.3355,24825,2.0115,23.4497,27.0913
3.3355,3.4743,20923,1.6954,27.0913,31.2751
3.4743,3.6131,19509,1.5808,31.2751,36.0822
3.6131,3.752,20901,1.6936,36.0822,41.6051
3.752,3.8908,24530,1.9876,41.6051,47.9507
3.8908,4.0297,22798,1.8473,47.9507,55.2414
4.0297,4.1685,20694,1.6768,55.2414,63.6179
4.1685,4.3073,24742,2.0048,63.6179,73.242
4.3073,4.4462,22160,1.7956,73.242,84.2995
4.4462,4.585,24700,2.0014,84.2995,97.0039
4.585,4.7238,23668,1.9178,97.0039,111.6005
4.7238,4.8627,25568,2.0717,111.6005,128.3711
4.8627,5.0015,25435,2.061,128.3711,147.6395
5.0015,5.1404,24560,1.9901,147.6395,169.7777
5.1404,5.2792,24955,2.0221,169.7777,195.2131
5.2792,5.418,25644,2.0779,195.2131,224.4369
5.418,5.5569,24628,1.9956,224.4369,258.0132
5.5569,5.6957,26036,2.1097,258.0132,296.5903
5.6957,5.8346,26595,2.155,296.5903,340.9131
5.8346,5.9734,26596,2.155,340.9131,391.8373
5.9734,6.1122,26482,2.1458,391.8373,450.346
6.1122,6.2511,28650,2.3215,450.346,517.5689
6.2511,6.3899,30531,2.4739,517.5689,594.804
6.3899,6.5288,49673,4.0249,594.804,683.5424
6.5288,6.6676,83363,6.7548,683.5424,785.4973
6.6676,6.8064,69206,5.6077,785.4973,902.6373
6.8064,6.9453,7893,0.6396,902.6373,1037.224
6.9453,7.0841,21000,1.7016,1037.224,1191.8559
7.0841,7.2229,393,0.0318,1191.8559,1369.5185
7.2229,7.3618,399,0.0323,1369.5185,1573.642
7.3618,7.5006,258,0.0209,1573.642,1808.1674
7.5006,7.6395,83,0.0067,1808.1674,2077.6227
7.6395,7.7783,39,0.0032,2077.6227,2387.2104
7.7783,7.9171,21,0.0017,2387.2104,2742.9077
7.9171,8.056,1,0.0001,2742.9077,3151.5822
8.056,8.1948,4,0.0003,3151.5822,3621.1241
8.1948,8.3337,3,0.0002,3621.1241,4160.5992
