sample,channel,mean_lolo,mean_lohi,mean_hilo,mean_hihi,n_lolo,n_lohi,n_hilo,n_hihi,diff_in_diff_logpts,corner_gap_logpts,corner_gap_pct
all_train,current_CH,3.729,3.5568,4.4508,4.5681,319183,298127,297883,318938,0.2895,0.839,134.65
all_train,recent_VG,4.2986,3.5956,4.4067,4.0649,264204,352862,352862,264203,0.3612,-0.2337,-21.1243
year_2016,current_CH,3.7676,3.5516,3.8347,3.4651,21888,29353,29346,21881,-0.1536,-0.3025,-26.7223
year_2016,recent_VG,4.0997,3.3474,4.0855,3.0561,20744,30490,30490,20744,-0.277,-1.0436,-65.874
year_2017,current_CH,3.3015,3.1881,3.5819,3.3583,30996,45940,45786,30841,-0.1104,0.0568,6.0675
year_2017,recent_VG,3.7612,2.8624,4.0018,2.7496,30209,46573,46573,30208,-0.3535,-1.0116,-65.1502
year_2018,current_CH,3.2953,3.2291,3.5244,3.741,32134,40528,40371,31976,0.2828,0.4457,58.3204
year_2018,recent_VG,3.9034,2.9239,3.8945,3.0562,30488,42017,42017,30487,0.1412,-0.8472,-58.3149
year_2019,current_CH,3.7905,3.1708,4.155,4.0271,31369,35628,35580,31320,0.4918,0.2366,27.3122
year_2019,recent_VG,4.0444,3.1119,4.1442,4.0456,24051,42899,42898,24049,0.8339,0.0013,0.1281
year_2020,current_CH,4.2266,4.0219,4.7418,4.8453,34675,28881,28873,34667,0.3083,0.6187,86.9213
year_2020,recent_VG,4.4606,4.2077,4.6328,4.5589,32389,31159,31159,32389,0.1789,0.0983,10.4549
year_2021,current_CH,4.4868,4.0583,4.7065,4.6853,39633,37330,37319,39621,0.4074,0.1985,22.2048
year_2021,recent_VG,4.5478,4.0824,4.7495,4.6467,30259,46694,46693,30257,0.3626,0.0989,10.5028
year_2022,current_CH,4.4049,4.0488,4.5642,4.8084,34523,33917,33900,34505,0.6002,0.4035,50.3239
year_2022,recent_VG,4.6448,4.1088,4.6445,4.4793,29968,38455,38456,29966,0.3708,-0.1656,-15.4067
year_2023,current_CH,4.6462,4.0688,4.7305,4.6956,35748,34980,34910,35678,0.5425,0.0495,5.1202
year_2023,recent_VG,4.7863,3.9605,4.847,4.6294,30860,39799,39798,30859,0.6082,-0.157,-14.6497
year_2024,current_CH,4.6673,3.9701,4.7681,4.5167,36583,33511,33434,36506,0.4458,-0.1506,-14.1166
year_2024,recent_VG,4.8719,3.9438,4.8554,4.3137,31048,38969,38969,31048,0.3864,-0.5583,-43.1096
