sector,n,median_fh,mean_log_fh,mean_H,median_pool
Agriculture,402595,107.4286,4.3136,0.0679,1341.0
Arts,13518,47.7504,3.849,0.1044,42.0
Clean Energy,21090,6.1268,2.2439,0.4208,28.0
Clothing,35933,155.0214,4.5982,0.0686,142.0
Construction,9077,129.3231,4.5222,0.0459,33.0
Education,34060,27.5803,3.5462,0.1454,55.0
Food,259893,77.5925,4.087,0.0452,816.0
Health,14620,87.0922,4.3053,0.1701,48.0
Housing,74036,25.2036,3.4429,0.3008,189.0
Manufacturing,4199,43.475,3.6683,0.0509,16.0
Personal Use,42586,9.9803,2.6784,0.3273,51.0
Retail,235332,88.1889,4.139,0.1159,820.0
Reuse & Recycle,15349,59.6928,3.9746,0.0782,38.0
Services,55101,139.0203,4.5223,0.0371,216.0
Transportation,16722,175.891,4.5743,0.0672,82.0
