sample,channel,n,mean_lolo,mean_lohi,mean_hilo,mean_hihi,diff_in_diff_logpts,corner_gap_logpts,corner_gap_pct
all_train,current_CH,1234131,-0.3152,0.0267,0.0262,0.2777,-0.0904,0.5929,80.928
all_train,recent_VG,1234131,-0.0369,-0.0464,0.049,0.0347,-0.0049,0.0716,7.4188
year_2016,current_CH,102468,-0.1919,-0.0048,0.0162,0.1759,-0.0275,0.3679,44.4647
year_2016,recent_VG,102468,0.0981,-0.0307,-0.1222,0.0455,0.2965,-0.0527,-5.1292
year_2017,current_CH,153563,-0.4668,0.1247,-0.0177,0.3948,-0.179,0.8616,136.6857
year_2017,recent_VG,153563,-0.0938,0.0775,-0.1421,0.1504,0.1213,0.2443,27.6673
year_2018,current_CH,145009,-0.4912,0.1725,0.004,0.362,-0.3057,0.8532,134.7098
year_2018,recent_VG,145009,-0.014,-0.0149,-0.0526,0.07,0.1235,0.084,8.7607
year_2019,current_CH,133897,-0.2237,-0.071,0.0798,0.2204,-0.0122,0.4441,55.9049
year_2019,recent_VG,133897,-0.0788,-0.0261,0.0693,0.0544,-0.0677,0.1332,14.2521
year_2020,current_CH,127096,-0.3492,0.0569,0.0203,0.2934,-0.133,0.6425,90.1244
year_2020,recent_VG,127096,-0.0993,-0.0743,0.0667,0.1017,0.0101,0.201,22.2627
year_2021,current_CH,153903,-0.2585,-0.0108,0.0411,0.2401,-0.0487,0.4985,64.6305
year_2021,recent_VG,153903,-0.01,-0.0909,0.1054,0.0012,-0.0234,0.0111,1.1207
year_2022,current_CH,136845,-0.2706,0.0934,-0.0387,0.2325,-0.0928,0.5031,65.3827
year_2022,recent_VG,136845,0.0275,-0.061,0.0653,-0.0281,-0.0049,-0.0556,-5.4116
year_2023,current_CH,141316,-0.2576,0.0118,0.007,0.2416,-0.0347,0.4993,64.7546
year_2023,recent_VG,141316,-0.0264,-0.1462,0.1626,0.0096,-0.0333,0.036,3.6671
year_2024,current_CH,140034,-0.2722,-0.1294,0.124,0.2758,0.009,0.548,72.9809
year_2024,recent_VG,140034,0.0541,-0.1498,0.1409,-0.0461,0.0169,-0.1001,-9.5282
sector_Agriculture,current_CH,402595,-0.2736,0.1125,-0.0496,0.2201,-0.1164,0.4937,63.8449
sector_Agriculture,recent_VG,402595,-0.0074,0.0502,0.0474,-0.0916,-0.1965,-0.0842,-8.0737
sector_Arts,current_CH,13518,-0.4495,0.0188,0.034,0.4142,-0.0881,0.8638,137.2139
sector_Arts,recent_VG,13518,-0.2461,0.0081,-0.072,0.2835,0.1013,0.5296,69.8178
sector_Clean Energy,current_CH,21090,-0.314,-0.0357,0.4427,-0.1444,-0.8654,0.1696,18.4853
sector_Clean Energy,recent_VG,21090,0.4592,-0.3509,0.5412,-0.6292,-0.3602,-1.0884,-66.3255
sector_Clothing,current_CH,35933,-0.1458,0.1349,-0.1366,0.1469,0.0028,0.2927,34.0081
sector_Clothing,recent_VG,35933,-0.0568,0.0752,-0.067,0.0504,-0.0146,0.1072,11.3142
sector_Education,current_CH,34060,-0.7281,-0.1911,0.0805,0.8403,0.2229,1.5684,379.9085
sector_Education,recent_VG,34060,-0.1409,-0.2585,0.0165,0.3582,0.4593,0.4992,64.7343
sector_Food,current_CH,259893,-0.2282,-0.053,0.0827,0.199,-0.059,0.4272,53.3015
sector_Food,recent_VG,259893,-0.0195,-0.0972,0.1191,-0.001,-0.0424,0.0184,1.8592
sector_Health,current_CH,14620,-0.362,-0.1342,0.1239,0.3694,0.0176,0.7314,107.8008
sector_Health,recent_VG,14620,-0.1352,-0.0134,-0.0412,0.1766,0.096,0.3117,36.5802
sector_Housing,current_CH,74036,-0.1685,0.0093,-0.0431,0.1802,0.0455,0.3486,41.7128
sector_Housing,recent_VG,74036,0.1059,-0.5497,0.4236,-0.0448,0.1873,-0.1506,-13.985
sector_Personal Use,current_CH,42586,-0.6296,-0.2697,0.1499,0.6745,0.1647,1.3042,268.457
sector_Personal Use,recent_VG,42586,-0.3165,-0.4587,0.2857,0.4343,0.2907,0.7508,111.8658
sector_Retail,current_CH,235332,-0.4411,0.1019,0.038,0.3606,-0.2204,0.8017,122.9384
sector_Retail,recent_VG,235332,-0.1019,0.0811,-0.114,0.1309,0.0619,0.2327,26.2051
sector_Reuse & Recycle,current_CH,15349,-0.2492,0.1239,0.015,0.1571,-0.231,0.4062,50.1178
sector_Reuse & Recycle,recent_VG,15349,-0.0685,0.0167,0.0316,0.025,-0.0919,0.0935,9.8029
sector_Services,current_CH,55101,-0.3054,-0.1043,0.0997,0.3076,0.0068,0.6131,84.6123
sector_Services,recent_VG,55101,-0.1697,-0.2144,0.1334,0.2163,0.1276,0.3861,47.1216
sector_Transportation,current_CH,16722,-0.2553,0.1947,-0.2363,0.2831,0.0693,0.5384,71.32
sector_Transportation,recent_VG,16722,-0.1338,0.0816,-0.0648,0.123,-0.0277,0.2568,29.2811
