group,variable,n,pct_missing,n_unique,discreteness,min,p01,p25,p50,p75,p95,p99,max,mean,std,iqr,skew,kurtosis,mean_over_median,p99_over_p50,pct_zero,pct_negative,mode_value,mode_pct,top10_values_pct
结果变量,funding_hours,1234131,0.0,704057,连续,0.0033333333333333335,0.18166666666666667,9.82986111111111,73.83805555555556,412.2105555555555,828.6694444444445,1071.3256944444443,4160.599166666667,236.45031552993794,299.83642667727224,402.38069444444443,1.2077636233452282,0.4189353110533478,3.2022825323729354,14.509126579564134,0.0,0.0,0.41888888888888887,0.13,1.0
结果变量,log_funding_hours,1234131,0.0,704057,连续,0.0033277900926747457,0.1669258713159811,2.3823072363896216,4.315326519715556,6.023957282783135,6.721027361758696,6.977585114931234,8.333654694450871,4.07846862673409,2.06312688049776,3.6416500463935133,-0.30978397309401146,-1.162806652793855,0.9451124053071475,1.6169309745282405,0.0,0.0,0.3498740927082285,0.13,1.0
结果变量,funded_within_72h,1234131,0.0,2,离散,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.49631116955979554,0.4999865949111133,1.0,0.014755741276986924,-1.9997855089014038,,,50.3689,0.0,0.0,50.369,100.0
结果变量,eligible_72h_followup,1234131,0.0,1,离散,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100.0,100.0
结果变量,eligible_35d_followup,1234131,0.0,1,离散,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100.0,100.0
池规模,pool_size_active,1234131,0.0,4323,连续,10.0,14.0,281.0,807.0,1289.0,2456.0,3245.0,4655.0,904.8211194759714,756.0641944734657,1008.0,1.1263653773322022,1.3530028501776776,1.1212157614324305,4.021065675340768,0.0,0.0,18.0,0.231,2.18
池规模,pool_size_14d,1234131,0.0,4805,连续,1.0,39.0,468.0,1162.0,1665.0,2407.0,3068.0,5029.0,1158.6123993319995,766.4117696558718,1197.0,0.5389078375059259,0.5785958061169527,0.9970846810086055,2.640275387263339,0.0,0.0,56.0,0.102,0.99
池规模,pool_size_16d,1234131,0.0,5288,连续,1.0,45.0,529.0,1322.0,1865.0,2677.0,3430.0,5725.0,1303.380170338481,852.7514270821956,1336.0,0.515442151842231,0.6119527996233405,0.9859154087280493,2.594553706505295,0.0,0.0,65.0,0.096,0.89
池规模,lag_pool_raw_count,1234131,0.0,7201,连续,13.0,88.0,937.0,2496.0,3385.0,4553.0,5925.0,8734.0,2383.631773288249,1449.0071592935062,2448.0,0.1874878221282249,-0.09085294146164813,0.9549806784007407,2.373798076923077,0.0,0.0,3113.0,0.188,1.4
池规模,lag_weight,1234131,0.0,934807,连续,1.8968362492167872,24.734056940054757,279.0697754545583,735.9348790411884,1060.5344658998602,1528.9600764597171,1940.034322138743,3422.5989037126924,734.8393105159505,487.35348417385666,781.4646904453018,0.46050226719377574,0.19570205728979628,0.9985113240907059,2.636149443910463,0.0,0.0,1207.4908809625672,0.001,0.01
池规模,lag_kish_n,1234131,0.0,453527,连续,10.05744125616615,52.61001003547668,586.0214801242705,1476.9068939973183,2056.6339193934928,2832.0418922792387,3680.6977549052763,5900.138143123051,1441.7006841775572,902.1927515396334,1470.6124392692223,0.33127800959579956,0.19678127559494207,0.9761622009059259,2.4921664120229634,0.0,0.0,1368.9385136392402,0.123,0.9
池规模,lag_completed_raw_count,1234131,0.0,7144,连续,13.0,87.0,936.0,2490.0,3321.0,4474.0,5846.0,8734.0,2360.849222651404,1430.659600753168,2385.0,0.1834738312012391,-0.04951613088474982,0.9481322179322907,2.3477911646586347,0.0,0.0,2885.0,0.234,1.42
池规模,lag_completed_weight,1234131,0.0,934807,连续,1.8968362492167863,24.353495297027788,277.85473893308625,726.3870765522304,1034.1733535512674,1493.8770555640872,1911.8934714018956,3422.5989037126924,720.3381280812448,475.4706779634051,756.3186146181811,0.47097462356236725,0.31333489370043033,0.9916725549417857,2.6320587646969544,0.0,0.0,1204.8581706035613,0.001,0.01
池规模,lag_completed_kish_n,1234131,0.0,454247,连续,10.05744125616615,52.10806332640396,583.883482136021,1465.2422250880288,2025.9753689410088,2789.256555885069,3659.5452230756405,5900.138143123052,1424.3713878375527,887.5920991720742,1442.0918868049878,0.32946800519694247,0.26478661431399697,0.9721064295372591,2.497570135788151,0.0,0.0,1368.9385136392398,0.123,0.89
拥挤度 C/V,C_active,1234131,0.0,4323,连续,2.3978952727983707,2.70805020110221,5.641907070938114,6.694562058521095,7.162397497355718,7.806696372521179,8.085178748074537,8.445911989411274,6.268607499239403,1.2800597432751655,1.520490426417604,-1.0287077251207397,0.3258528634540032,0.936373050909354,1.2077233249012027,0.0,0.0,2.9444389791664403,0.231,2.18
拥挤度 C/V,C_14d,1234131,0.0,4805,连续,0.6931471805599453,3.6888794541139363,6.150602768446279,7.0587581525186645,7.418180822726788,7.786551806428712,8.029107054619736,8.523175263093785,6.681150011966003,1.0570848699727282,1.2675780542805084,-1.1857851473590868,0.6162487317523051,0.9465050179658123,1.1374673676494835,0.0,0.0,4.04305126783455,0.102,0.99
拥挤度 C/V,C_16d,1234131,0.0,5288,连续,0.6931471805599453,3.828641396489095,6.272877006546167,7.187657164114956,7.531552381407289,7.8928255262511176,8.14060704285845,8.65277248565806,6.803772571257348,1.0509290800771036,1.258675374861122,-1.1956233320051928,0.6152562749483441,0.9465911375442073,1.1325814318887084,0.0,0.0,4.189654742026425,0.096,0.89
拥挤度 C/V,V_lag,1234131,0.0,934807,连续,1.0636191929289693,3.2478152854785782,5.635038770176567,6.602499528775485,6.9674707496691966,7.3329969202123735,7.570976265628406,8.138447587792626,6.2204959523439225,1.0642039168142483,1.3324319794926298,-1.1564127555671415,0.49996629927201885,0.9421425817954721,1.1466833481217282,0.0,0.0,7.097127654366262,0.001,0.01
拥挤度 C/V,V_lag_completed,1234131,0.0,934807,连续,1.063619192928969,3.2329166018130637,5.63069099725055,6.5894587657635375,6.942324183027896,7.309799245358828,7.556372281069206,8.138447587792626,6.204152576613057,1.0597422588659424,1.311633185777346,-1.167606004859228,0.5307516333697802,0.9415268836414316,1.1467364088124208,0.0,0.0,7.094946767223379,0.001,0.01
