group,variable,rank,value,n,share_pct
结果变量,funding_hours,1,0.41888888888888887,1600,0.1296
结果变量,funding_hours,2,0.4191666666666667,1532,0.1241
结果变量,funding_hours,3,0.4197222222222222,1393,0.1129
结果变量,funding_hours,4,0.42,1372,0.1112
结果变量,funding_hours,5,0.41944444444444445,1289,0.1044
结果变量,funding_hours,6,0.42027777777777775,1282,0.1039
结果变量,log_funding_hours,1,0.3498740927082285,1600,0.1296
结果变量,log_funding_hours,2,0.3500698448865966,1532,0.1241
结果变量,log_funding_hours,3,0.3504612343240781,1393,0.1129
结果变量,log_funding_hours,4,0.35065687161316933,1372,0.1112
结果变量,log_funding_hours,5,0.3502655587535488,1289,0.1044
结果变量,log_funding_hours,6,0.35085247063579783,1282,0.1039
结果变量,funded_within_72h,1,0.0,621618,50.3689
结果变量,funded_within_72h,2,1.0,612513,49.6311
结果变量,eligible_72h_followup,1,1.0,1234131,100.0
结果变量,eligible_35d_followup,1,1.0,1234131,100.0
池规模,pool_size_active,1,18.0,2845,0.2305
池规模,pool_size_active,2,17.0,2755,0.2232
池规模,pool_size_active,3,20.0,2699,0.2187
池规模,pool_size_active,4,16.0,2686,0.2176
池规模,pool_size_active,5,22.0,2683,0.2174
池规模,pool_size_active,6,32.0,2652,0.2149
池规模,pool_size_active,7,14.0,2648,0.2146
池规模,pool_size_active,8,19.0,2648,0.2146
池规模,pool_size_14d,1,56.0,1256,0.1018
池规模,pool_size_14d,2,60.0,1248,0.1011
池规模,pool_size_14d,3,57.0,1242,0.1006
池规模,pool_size_14d,4,67.0,1235,0.1001
池规模,pool_size_16d,1,65.0,1184,0.0959
池规模,pool_size_16d,2,63.0,1148,0.093
池规模,pool_size_16d,3,66.0,1116,0.0904
池规模,lag_pool_raw_count,1,3113.0,2321,0.1881
池规模,lag_pool_raw_count,2,2552.0,2011,0.1629
池规模,lag_pool_raw_count,3,2888.0,1947,0.1578
池规模,lag_pool_raw_count,4,2410.0,1936,0.1569
池规模,lag_pool_raw_count,5,2253.0,1711,0.1386
池规模,lag_pool_raw_count,6,2140.0,1575,0.1276
池规模,lag_pool_raw_count,7,2683.0,1456,0.118
池规模,lag_pool_raw_count,8,2642.0,1455,0.1179
池规模,lag_weight,1,1207.4908809625672,13,0.0011
池规模,lag_weight,2,1207.492264840509,13,0.0011
池规模,lag_weight,3,173.8031157601273,12,0.001
池规模,lag_kish_n,1,1368.9385136392402,1519,0.1231
池规模,lag_kish_n,2,1444.0854997085353,1339,0.1085
池规模,lag_kish_n,3,836.837766590595,1301,0.1054
池规模,lag_completed_raw_count,1,2885.0,2887,0.2339
池规模,lag_completed_raw_count,2,2552.0,2013,0.1631
池规模,lag_completed_raw_count,3,2410.0,1906,0.1544
池规模,lag_completed_raw_count,4,2253.0,1755,0.1422
池规模,lag_completed_raw_count,5,2138.0,1675,0.1357
池规模,lag_completed_raw_count,6,3113.0,1623,0.1315
池规模,lag_completed_raw_count,7,2683.0,1480,0.1199
池规模,lag_completed_raw_count,8,2355.0,1407,0.114
池规模,lag_completed_weight,1,1204.8581706035613,13,0.0011
池规模,lag_completed_weight,2,1204.8595514642136,13,0.0011
池规模,lag_completed_weight,3,173.80311576012733,12,0.001
