variable,n,pct_eq_0,pct_lt_001,pct_lt_005,pct_gt_05,pct_gt_09,pct_eq_1,max
H_active_raw,1234131,0.00632,2.49,51.519,3.506,0.2277,0.0,1.0000000590602602
H_active_residual,1149206,0.132,5.044,66.563,2.586,0.0854,0.0,1.0000000462284284
H_14d_raw,1234131,0.00559,2.277,48.737,5.831,0.1642,0.0,0.9826219063833039
H_14d_residual,1149206,0.08754,5.054,64.259,4.482,0.1229,0.0,0.9826172475759064
H_16d_raw,1234131,0.00535,2.245,48.971,5.691,0.1447,0.0,0.9794274029058025
H_16d_residual,1149206,0.07953,5.025,64.623,4.318,0.1153,0.0,0.9794256968463332
G_lag_raw,1234131,0.00154,2.468,52.41,4.621,0.057,0.0,0.9726716137397169
G_lag_residual,1149206,0.01175,5.809,69.893,3.326,0.0443,0.0,0.9726030860455683
G_lag_completed_raw,1234131,0.00154,2.468,52.386,4.63,0.0604,0.0,0.9726716137397167
G_lag_completed_residual,1149206,0.01175,5.822,69.891,3.332,0.0472,0.0,0.9726030860455683
