group,variable,med_2016_2019,med_2020_2024,ratio_late_over_early,med_2025,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025
结果变量,funding_hours,34.90826388888889,120.27527777777777,3.445,65.23555555555555,40.84125,27.738055555555555,28.975277777777777,44.88333333333333,120.27527777777777,131.5336111111111,118.0325,132.38694444444445,110.5648611111111,65.23555555555555
结果变量,log_funding_hours,3.567127831437144,4.798062984439257,1.345,4.193217411744373,3.7338826950219053,3.358222221979186,3.4003729678523835,3.8261019429205065,4.798062984439257,4.886836282020899,4.779396565067686,4.893254260939848,4.714606135770392,4.193217411744373
结果变量,funded_within_72h,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
结果变量,eligible_72h_followup,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
结果变量,eligible_35d_followup,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
池规模,pool_size_active,469.5,1137.0,2.422,769.0,493.0,428.0,446.0,523.0,1293.0,1333.0,1129.0,1137.0,1030.0,769.0
池规模,pool_size_14d,1056.5,1330.0,1.259,1157.0,987.0,1130.0,1126.0,979.0,1391.0,1473.0,1330.0,1222.0,1198.0,1157.0
池规模,pool_size_16d,1203.0,1499.0,1.246,1300.0,1127.0,1290.0,1279.0,1110.0,1601.0,1629.0,1499.0,1374.0,1343.0,1300.0
池规模,lag_pool_raw_count,2293.5,2663.0,1.161,2471.0,2038.0,2471.0,2426.0,2161.0,2577.0,3049.0,2723.0,2663.0,2477.0,2471.0
池规模,lag_weight,706.9533032661138,783.7084673069819,1.109,753.7699970194923,648.5216538309967,765.3849527012309,766.2025116566708,634.5613487124899,826.868415384967,777.4586333515642,835.2561598741547,783.7084673069819,736.2369012638508,753.7699970194923
池规模,lag_kish_n,1369.9693136641213,1608.7871852905057,1.174,1543.071839257203,1238.8191043360468,1489.4688254946232,1465.9799979622337,1273.9586293660088,1629.6931883241523,1712.1887391999157,1608.7871852905057,1589.2863093554215,1527.2939082083308,1543.071839257203
