axis,value,n,share_pct,median_fh
posting_dow,0,160839,13.033,67.77833333333334
posting_dow,1,182298,14.771,67.45208333333333
posting_dow,2,188592,15.281,64.5026388888889
posting_dow,3,184718,14.967,70.76166666666667
posting_dow,4,182587,14.795,83.03111111111112
posting_dow,5,184026,14.911,88.82736111111112
posting_dow,6,151071,12.241,77.73722222222223
posting_hour,0,47951,3.885,71.67361111111111
posting_hour,1,47215,3.826,79.57888888888888
posting_hour,2,43257,3.505,67.78444444444445
posting_hour,3,39409,3.193,67.43166666666667
posting_hour,4,35965,2.914,69.80916666666667
posting_hour,5,31857,2.581,66.51611111111112
posting_hour,6,31658,2.565,63.935
posting_hour,7,29944,2.426,66.30847222222224
posting_hour,8,28834,2.336,60.82138888888889
posting_hour,9,24453,1.981,57.176944444444445
posting_hour,10,25868,2.096,78.98361111111112
posting_hour,11,42035,3.406,75.85694444444445
posting_hour,12,49225,3.989,79.9161111111111
posting_hour,13,57597,4.667,68.38055555555556
posting_hour,14,66375,5.378,75.57888888888888
posting_hour,15,69417,5.625,74.37972222222223
posting_hour,16,87144,7.061,77.71208333333334
posting_hour,17,88979,7.21,80.66638888888889
posting_hour,18,79270,6.423,73.02555555555556
posting_hour,19,68494,5.55,77.76555555555555
posting_hour,20,67040,5.432,76.71986111111111
posting_hour,21,64084,5.193,73.96930555555555
posting_hour,22,55438,4.492,72.50013888888888
posting_hour,23,52622,4.264,69.73472222222222
