band,lo_h,hi_h,n,share_pct,cum_pct
<0.5h,0.0,0.5,55244,4.476,4.476
0.5-1h,0.5,1.0,30011,2.432,6.908
1-3h,1.0,3.0,90587,7.34,14.248
3-6h,3.0,6.0,75325,6.103,20.351
6-12h,6.0,12.0,82167,6.658,27.009
12-24h,12.0,24.0,107600,8.719,35.728
1-2d,24.0,48.0,106620,8.639,44.367
2-3d,48.0,72.0,64958,5.263,49.63
3-7d,72.0,168.0,147062,11.916,61.546
7-14d,168.0,336.0,126712,10.267,71.813
14-21d,336.0,504.0,79545,6.445,78.258
21-25d,504.0,600.0,38585,3.126,81.384
25-28d,600.0,672.0,38586,3.127,84.511
28-30d,672.0,720.0,70751,5.733,90.244
30-32d,720.0,768.0,16666,1.35,91.594
32-35d,768.0,840.0,60989,4.942,96.536
35-42d,840.0,1000.0,17673,1.432,97.968
>42d,1000.0,1000000000.0,25050,2.03,99.998
