fundraising_year,median_pool_active,median_pool_14d,median_funding_hours,在架/挂牌,"货架停留(天,≈)"
2016,493.0,987.0,40.84125,0.499,7.0
2017,428.0,1130.0,27.738055555555555,0.379,5.3
2018,446.0,1126.0,28.975277777777777,0.396,5.5
2019,523.0,979.0,44.88333333333333,0.534,7.5
2020,1293.0,1391.0,120.27527777777777,0.93,13.0
2021,1333.0,1473.0,131.5336111111111,0.905,12.7
2022,1129.0,1330.0,118.0325,0.849,11.9
2023,1137.0,1222.0,132.38694444444445,0.93,13.0
2024,1030.0,1198.0,110.5648611111111,0.86,12.0
2025,769.0,1157.0,65.23555555555555,0.665,9.3
