fundraising_year,p25,p50,p75,p90,p95,p99
2016,0.024096447032558845,0.04223518362846694,0.07597806085887034,0.17417218080550667,0.39701675364752065,0.70181523443155
2017,0.023010937142003956,0.03808012037543959,0.06835968503512985,0.16692080420135363,0.4053578653509053,0.7436323211891654
2018,0.022948979247972377,0.03605281449192516,0.05945766465952906,0.10673065645315095,0.16953480228446435,0.4295040969286314
2019,0.025686636324132157,0.046749930949231355,0.10865903825257053,0.42041583121881676,0.7322422678530255,0.8766266209675841
2020,0.029236992748787785,0.059720198967221125,0.15800751595029955,0.33195424399937445,0.44984892252585823,0.8595408486893326
2021,0.03520375453442217,0.07637525565873395,0.16495288532701696,0.3260984340704171,0.42051605001553144,0.8005300748834966
2022,0.029433235248200525,0.0599780588565492,0.13941488355091075,0.29656343565112125,0.39271305916613825,0.7932933450742639
2023,0.025447295179180596,0.04851409625529349,0.10158744168554783,0.21528626485994218,0.3140828226032082,0.7958496663633705
2024,0.02736541688146435,0.052295553897552055,0.11159251268411507,0.31884786518572805,0.405155699647741,0.5913045676177776
2025,0.02810637104176273,0.06430444617417432,0.17531377271088355,0.40854308770747755,0.6013070774736291,0.99702655136565
