pool_decile,n,median_pool_size,mean_H,median_H,p95_H,pct_H_gt_05
0,124649,33.0,0.16489264691694552,0.09180599815304243,0.6008008184642112,7.857
1,122955,119.0,0.1449071668867826,0.06435258345129115,0.6411778174112696,8.745
2,122774,282.0,0.11553515586934152,0.03942257308475557,0.6320995635144993,7.969
3,123749,467.0,0.07180564176599452,0.03457180765363157,0.2388330357739521,3.773
4,123183,687.0,0.07569606612879946,0.03608716788125847,0.23330649417172392,3.188
5,123484,911.0,0.07571823453473672,0.03910510299962272,0.26711042553623343,1.291
6,123327,1088.0,0.08571838595986742,0.042350284160179164,0.3223681701825836,1.13
7,123641,1290.0,0.09658764603180718,0.049651614224554656,0.3630959337963934,0.862
8,123109,1608.0,0.09513523460990417,0.06069453608560699,0.3394668836714776,0.233
9,123260,2457.0,0.10903454778099703,0.07137684939918784,0.35994814295640165,0.005
