variable,band,n,share_pct,H_lo,H_hi,mean_dm_outcome,median_funding_hours,pct_funded_72h,G_lo,G_hi
H,p0-p10,123413,10.0,0.0,0.016591595224655482,-0.13340049628982922,77.5838888888889,48.84,,
H,p10-p25,185119,15.0,0.01659161531072404,0.026199258719463447,-0.13892147499311494,79.64777777777778,48.59,,
H,p25-p50,308533,25.0,0.02619927676846483,0.048046602555874486,-0.127552610974728,75.71138888888889,49.33,,
H,p50-p75,308533,25.0,0.04804661736813529,0.10525517578657148,0.018865543011757167,83.7575,48.14,,
H,p75-p90,185119,15.0,0.10525518184888094,0.26332429995699247,0.21158053206120542,85.7475,47.87,,
H,p90-p95,61707,5.0,0.26332483091883824,0.40471887462032907,0.28180545488879566,74.56166666666667,49.45,,
H,p95-p99,49361,4.0,0.40472206543782796,0.8008976361249157,0.34098474784088445,25.1875,68.0,,
H,p99-p100,12346,1.0,0.800916810477438,1.0000000590602602,0.18836977644996908,17.39902777777778,71.67,,
G,p0-p10,123413,10.0,,,0.01724698321650411,121.60305555555556,42.25,-2.9121867062952424e-21,0.0166790979406926
G,p10-p25,185119,15.0,,,-0.017857230643226814,114.07277777777777,43.4,0.01667910569880487,0.026115378467732448
G,p25-p50,308533,25.0,,,0.021436800759439816,105.77888888888889,44.7,0.026115422783059276,0.047003287031325114
G,p50-p75,308532,25.0,,,0.022741673882427087,80.85208333333333,48.55,0.047003383250351916,0.09704186120368898
G,p75-p90,185120,15.0,,,-0.022956833304282893,47.66152777777778,55.35,0.09704203231502216,0.24451180495929833
G,p90-p95,61702,5.0,,,3.99686854335026e-06,24.048333333333332,64.8,0.24451255005076347,0.468738887327217
G,p95-p99,49369,4.0,,,-0.146508071036121,11.125555555555556,80.55,0.46879575249845196,0.7715001871815708
G,p99-p100,12343,1.0,,,-0.07865223282604729,11.779722222222222,81.91,0.7715998544768146,0.9726716137397169
