subsample,n,share_pct,term,estimate,std_error,t,p_value,ci_low,ci_high,sig
全样本（主模型口径）,1234131,100.0,Cz,0.5202465351141533,0.039727029023968456,13.095530873961746,0.0,0.4402321913268107,0.6002608789014959,***
全样本（主模型口径）,1234131,100.0,Hz,0.4036051701543968,0.06344093132206984,6.361904873454948,9.047653648508458e-08,0.2758285753848589,0.5313817649239347,***
全样本（主模型口径）,1234131,100.0,CH,0.10166469106037732,0.03276560863162623,3.102786589541568,0.003307862830630004,0.035671367676675406,0.16765801444407924,***
全样本（主模型口径）,1234131,100.0,Vz,0.04966644746152032,0.0704621780836645,0.7048667641603129,0.4845255999992717,-0.09225166420471406,0.1915845591277547,
全样本（主模型口径）,1234131,100.0,Gz,-0.13853188118850288,0.05834981701885854,-2.3741613644431765,0.02191540195848174,-0.25605444538676314,-0.021009316990242596,**
全样本（主模型口径）,1234131,100.0,VG,0.04174754945698529,0.013614523064937219,3.06639823208363,0.0036583818796855905,0.01432649241389879,0.0691686065000718,***
H 下半段 p0-p50,617064,50.0,Cz,0.8219637681746963,0.09176665071465637,8.957107639577584,1.4568790618341154e-11,0.6371362459840619,1.0067912903653307,***
H 下半段 p0-p50,617064,50.0,Hz,1.9864054038368326,0.3042122763816127,6.529668780838509,5.0927792871746647e-08,1.3736904270374697,2.5991203806361955,***
H 下半段 p0-p50,617064,50.0,CH,0.7805581587234346,0.12755627855635754,6.119323702114472,2.0761447117045861e-07,0.5236466258100456,1.0374696916368236,***
H 下半段 p0-p50,617064,50.0,Vz,-0.06522311408293596,0.08872109293124578,-0.7351477752137305,0.46606375586234505,-0.24391656802097061,0.11347033985509869,
H 下半段 p0-p50,617064,50.0,Gz,-0.5625282715940799,0.08309442809820836,-6.769747195675192,2.238620311345585e-08,-0.7298890408237972,-0.3951675023643626,***
H 下半段 p0-p50,617064,50.0,VG,-0.3004174106302292,0.06922069665915045,-4.339994035447435,7.970017580305466e-05,-0.43983505035211723,-0.16099977090834117,***
H p50-p90,493644,40.0,Cz,0.601802922831425,0.0320582503240263,18.772169932817548,0.0,0.5370599728613884,0.6665458728014616,***
H p50-p90,493644,40.0,Hz,0.7519087242707355,0.0433662718952284,17.33856039290913,0.0,0.6643287614430213,0.8394886870984497,***
H p50-p90,493644,40.0,CH,0.06872136430333559,0.04487354904369126,1.5314448214565073,0.13333981595174205,-0.021902606479509326,0.15934533508618048,
H p50-p90,493644,40.0,Vz,0.06191029474893008,0.08103597128116004,0.7639853483600256,0.44925047489210734,-0.10174516933288333,0.2255657588307435,
H p50-p90,493644,40.0,Gz,-0.23796195078041366,0.05229359347260831,-4.550499114295129,4.699423499698874e-05,-0.3435710052899518,-0.1323528962708755,***
H p50-p90,493644,40.0,VG,0.005919428834455797,0.03260985302694451,0.18152270816936086,0.8568517582108091,-0.05993750539353035,0.07177636306244195,
H 高尾 p90-p100,123397,10.0,Cz,0.7291761031240913,0.04787929156173863,15.229467256921394,1.7985612998927536e-14,0.6307588098175724,0.8275933964306103,***
