spec,n,term,estimate,se,p
"T1a 完整主模型（控制 C,H,V）",1234131,active_raw_Cz,0.5202465351139346,0.039727029902026076,0.0
"T1a 完整主模型（控制 C,H,V）",1234131,active_raw_Hz,0.403605170154434,0.06344091869802249,9.047614413226768e-08
"T1a 完整主模型（控制 C,H,V）",1234131,active_raw_CH,0.10166469106037873,0.03276560633644362,0.0033078608347010263
"T1a 完整主模型（控制 C,H,V）",1234131,active_raw_Vz,0.04966644746134886,0.07046214849380301,0.4845254175517162
"T1a 完整主模型（控制 C,H,V）",1234131,active_raw_Gz,-0.13853188118845877,0.05834980767463302,0.021915381972028802
"T1a 完整主模型（控制 C,H,V）",1234131,active_raw_VG,0.04174754945700101,0.013614522372877847,0.0036583803060670217
"T1a 完整主模型（控制 C,H,V）",1234131,log_loan_amount,1.1814523631982432,0.10755021301471226,2.531308496145357e-14
"T1a 完整主模型（控制 C,H,V）",1234131,log_borrower_count,0.01040360312929511,0.11064931787527704,0.9255081303832551
"T1a 完整主模型（控制 C,H,V）",1234131,log_repayment_term,2.3115756561069634,0.7093811393943666,0.002134855390485857
"T1a 完整主模型（控制 C,H,V）",1234131,log_platform_posting_7d,-0.09059638016981551,0.05063118429487492,0.08029165501726299
T1b 只放 G（不控制 H/C/V）,1234131,active_raw_Gz,0.14547566110226098,0.06299477848775088,0.025571425599832942
T1b 只放 G（不控制 H/C/V）,1234131,log_loan_amount,1.1625869829877942,0.10472434146327288,1.7763568394002505e-14
T1b 只放 G（不控制 H/C/V）,1234131,log_borrower_count,0.058037635238394905,0.10933231453964252,0.5981420515536882
T1b 只放 G（不控制 H/C/V）,1234131,log_repayment_term,2.345618604917587,0.7000734445557021,0.0016405834089745497
T1b 只放 G（不控制 H/C/V）,1234131,log_platform_posting_7d,0.1362181210423129,0.1181275700330233,0.2549397261022599
T1c 放 G 与 V（不控制当前通道）,1234131,active_raw_Vz,0.22368108686518182,0.07365762654529974,0.003969283182206906
T1c 放 G 与 V（不控制当前通道）,1234131,active_raw_Gz,0.1531688703318829,0.07394914420884162,0.04409631605477382
T1c 放 G 与 V（不控制当前通道）,1234131,active_raw_VG,0.07283151875503391,0.01485222326983038,1.2665902032749088e-05
T1c 放 G 与 V（不控制当前通道）,1234131,log_loan_amount,1.15984029485513,0.10655494803612534,3.419486915845482e-14
T1c 放 G 与 V（不控制当前通道）,1234131,log_borrower_count,0.05355044350521787,0.11100818839103956,0.6318595478419198
T1c 放 G 与 V（不控制当前通道）,1234131,log_repayment_term,2.3415168289383375,0.6998399525846832,0.001663164333310041
T1c 放 G 与 V（不控制当前通道）,1234131,log_platform_posting_7d,0.14295315420520907,0.1218323181787853,0.246824831394868
T1d 放 G 与 H（叙事维度的总效应）,1234131,active_raw_Hz,0.4301574474484072,0.030545500732385773,0.0
T1d 放 G 与 H（叙事维度的总效应）,1234131,active_raw_Gz,-0.14061437536344576,0.058367105921262624,0.020144665291160768
T1d 放 G 与 H（叙事维度的总效应）,1234131,log_loan_amount,1.177305401446312,0.10409676980103949,9.547918011776346e-15
T1d 放 G 与 H（叙事维度的总效应）,1234131,log_borrower_count,0.026098949752996824,0.10810028066126272,0.8103164956725131
T1d 放 G 与 H（叙事维度的总效应）,1234131,log_repayment_term,2.3116473025583115,0.7113207839361504,0.002188841470675662
T1d 放 G 与 H（叙事维度的总效应）,1234131,log_platform_posting_7d,0.03963600832668799,0.057610594076551176,0.49498502607054595
T2a 主模型 + 队列速度,1234131,active_raw_Cz,0.3915055232880031,0.044008622986813475,1.777356040122413e-11
T2a 主模型 + 队列速度,1234131,active_raw_Hz,0.4127300677417851,0.06572416239116931,1.1988652937056088e-07
T2a 主模型 + 队列速度,1234131,active_raw_CH,0.09811827650198468,0.03422441727631236,0.006284755639045292
T2a 主模型 + 队列速度,1234131,active_raw_Vz,0.08276595744896342,0.07914129954687198,0.3012386928863704
T2a 主模型 + 队列速度,1234131,active_raw_Gz,-0.12979083671880706,0.05354869782477886,0.019441951027205917
T2a 主模型 + 队列速度,1234131,active_raw_VG,0.03174267368204127,0.013064940331308075,0.019169205611009543
T2a 主模型 + 队列速度,1234131,log_loan_amount,1.1799210796100439,0.1075919566467944,2.6645352591003757e-14
T2a 主模型 + 队列速度,1234131,log_borrower_count,0.007190914139826358,0.10895355534154441,0.9476703280798833
T2a 主模型 + 队列速度,1234131,log_repayment_term,2.309861203950468,0.70798617354421,0.0021107007948006906
T2a 主模型 + 队列速度,1234131,log_platform_posting_7d,-0.0670441375045151,0.05472758653269689,0.22692947969907307
T2a 主模型 + 队列速度,1234131,lag_cohort_logfh,0.23572152328089155,0.05541362136610801,0.00010492411313434147
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,active_raw_Cz,0.3819663659058622,0.04530695118549813,8.210476742931405e-11
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,active_raw_Hz,0.416717964054451,0.06332418312238915,4.2759686680327036e-08
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,active_raw_CH,0.10171843528166652,0.03387676932366552,0.004358495654803951
