scenario,corr_with_raw_H,n,term,estimate,std_error,p_value,ci_low,ci_high,interpretation
observed_raw_H,1.0,1149206,C,0.5090086134079472,0.037882400371644656,0.0,0.43270954244047666,0.5853076843754178,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
observed_raw_H,1.0,1149206,H,0.40482620746215026,0.0670521717196168,2.746865737091042e-07,0.26977620116984957,0.5398762137544509,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
observed_raw_H,1.0,1149206,CH,0.09849559838191023,0.03254505643761222,0.004083373542723701,0.03294648991959705,0.1640447068442234,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
observed_residual_H,0.9352383184729075,1149206,C,0.6461373352941056,0.04902132791726192,0.0,0.547403312608509,0.744871357979702,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
observed_residual_H,0.9352383184729075,1149206,H,0.24891926530177946,0.05936402874995481,0.00012723646925483223,0.12935397381887548,0.36848455678468345,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
observed_residual_H,0.9352383184729075,1149206,CH,0.04410717156694337,0.02978609284541997,0.14562882630451557,-0.015885098974536535,0.10409944210842327,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9800,0.98,1149206,C,0.5558599499830482,0.03761507744777746,0.0,0.4800992950224641,0.6316206049436323,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9800,0.98,1149206,H,0.35031297169501285,0.044059163425356936,4.063016589839208e-10,0.2615732613287464,0.4390526820612793,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9800,0.98,1149206,CH,0.07963824728947856,0.024508649704110687,0.002191344448784216,0.03027529286353567,0.12900120171542145,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9352,0.9352,1149206,C,0.6259139018639372,0.039023595548335524,0.0,0.5473163458237191,0.7045114579041554,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9352,0.9352,1149206,H,0.26926667056776427,0.020957102910625906,0.0,0.22705689857434797,0.31147644256118057,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9352,0.9352,1149206,CH,0.05345521417012211,0.017751957522643913,0.004256966836657439,0.01770093636449617,0.08920949197574805,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9000,0.9,1149206,C,0.6624147891490049,0.04204688489196258,0.0,0.5777280157962201,0.7471015625017896,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9000,0.9,1149206,H,0.22550982330884878,0.013788566531511762,0.0,0.19773822472992192,0.25328142188777564,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.9000,0.9,1149206,CH,0.038864183638107896,0.015369789084054598,0.015027747114029877,0.007907839357529686,0.0698205279186861,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.8000,0.8,1149206,C,0.7234379886624872,0.052646084254614124,0.0,0.6174033319539624,0.8294726453710121,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.8000,0.8,1149206,H,0.15015964979406185,0.010334823077687854,0.0,0.12934424760980676,0.17097505197831694,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
injected_noise_corr_0.8000,0.8,1149206,CH,0.0179277614022427,0.013660411775274762,0.19604401187358578,-0.009585720247846017,0.04544124305233142,"injected_noise rows change no textual content; they degrade H by classical measurement error only, so they bound how much of the observed residual attenuation needs a substantive explanation"
