column,null_count,null_pct
activity,0,0.0
borrowerCount,0,0.0
city,61607,4.237519
country_iso,0,0.0
country_latitude,0,0.0
country_longitude,0,0.0
country_name,0,0.0
country_ppp,0,0.0
description,0,0.0
disbursalDate,0,0.0
fundraisingDate,0,0.0
fundsLentInCountry,0,0.0
gender,0,0.0
id,0,0.0
image_url,0,0.0
latitude,90986,6.258297
lenderRepaymentTerm,0,0.0
loanAmount,0,0.0
longitude,90986,6.258297
name,0,0.0
raisedDate,0,0.0
region,0,0.0
repaymentInterval,0,0.0
sector,0,0.0
status,0,0.0
use,0,0.0
whySpecial,39078,2.687905
_source_row,0,0.0
