country,loans,valid_raised_events
Philippines,521590,521586.0
Kenya,266563,266562.0
Uganda,69651,69651.0
Tajikistan,68866,68865.0
Cambodia,58074,58074.0
Madagascar,55670,55670.0
Pakistan,42767,42767.0
Nicaragua,38520,38520.0
Liberia,28847,28847.0
Togo,27513,27513.0
Senegal,21420,21420.0
Honduras,20871,20871.0
Kyrgyzstan,20530,20530.0
India,20397,20397.0
Sierra Leone,19408,19408.0
Rwanda,18395,18395.0
Palestine,14500,14500.0
Nigeria,14320,14320.0
Ghana,14193,14193.0
Congo (DRC),11151,11151.0
Burkina Faso,10660,10660.0
Tanzania,10621,10621.0
Timor-Leste,10401,10401.0
Mozambique,8066,8066.0
Solomon Islands,7924,7924.0
Haiti,7559,7559.0
Egypt,7398,7398.0
Zimbabwe,6380,6380.0
Lesotho,4910,4910.0
Mali,4281,4281.0
Vanuatu,4018,4018.0
Cameroon,3670,3670.0
Malawi,3294,3294.0
Zambia,3157,3157.0
Myanmar (Burma),3146,3146.0
Nepal,1276,1276.0
Lao PDR,1121,1121.0
Papua New Guinea,1042,1042.0
Cote D'Ivoire,595,595.0
Yemen,446,446.0
Uzbekistan,389,389.0
Burundi,190,190.0
Bangladesh,39,39.0
Somalia,10,10.0
Benin,3,3.0
South Sudan,2,2.0
Afghanistan,1,1.0
Niger,1,1.0
