channel,left_quartile,right_quartile,n,median_funding_hours,fast_72h_rate,mean_left,mean_right
current,1,1,62225,49.63,0.5509843310566492,4.5314492960109485,0.016341110587661658
current,1,2,55269,56.105555555555554,0.5302791800104941,4.546004529220683,0.03629665162786317
current,1,3,76879,62.98111111111111,0.5172413793103449,4.3766741108412415,0.07263167207759903
current,1,4,114160,21.052777777777777,0.6857042747021724,4.2000606961389115,0.3282794351931479
current,2,1,103598,55.64527777777778,0.5345663043688103,6.219932179447147,0.017762403297768126
current,2,2,97946,32.21666666666667,0.5951544728728074,6.233806863081639,0.035698244911447394
current,2,3,66604,24.32986111111111,0.6163293495886133,6.247187452567571,0.06706150924732399
current,2,4,40385,44.09777777777778,0.5776897362882258,6.213876207150954,0.36795287158113965
current,3,1,83685,118.03166666666667,0.42922865507558106,6.935594056879696,0.018238529874941185
current,3,2,89217,109.34138888888889,0.43971440420547653,6.936136559820172,0.035808037581321964
current,3,3,75337,102.78555555555556,0.44708443394348063,6.949893933430999,0.06954175657643506
current,3,4,60294,117.38069444444444,0.41619398281752745,6.962929100838732,0.2641820090761336
current,4,1,59025,128.645,0.41751800084709867,7.489094017695398,0.018287450039890633
current,4,2,66101,167.13472222222222,0.3839881393624907,7.505521688100514,0.03613334604113551
current,4,3,89713,167.56861111111112,0.37930957609265104,7.527570377963187,0.07310922297714922
current,4,4,93693,188.12416666666667,0.37186342629652164,7.567292186043761,0.22541196243147515
recent,1,1,60048,107.16430555555556,0.4397482014388489,4.609644361809161,0.016719048813247452
recent,1,2,54718,107.77513888888889,0.4394531963887569,4.554161933632078,0.03584448600933934
recent,1,3,69001,92.96444444444444,0.4648483355313691,4.499850468042356,0.06832713109422955
recent,1,4,124766,15.282083333333333,0.7350960998990109,4.646874602468366,0.3537354559230713
recent,2,1,79134,112.49777777777777,0.4341496701796952,6.343489181817435,0.017354581607784022
recent,2,2,70304,76.09583333333333,0.49180700955848883,6.363569457941672,0.035315700906873956
recent,2,3,73043,54.21611111111111,0.538052927727503,6.327296979871967,0.06715144700859188
recent,2,4,86052,38.49583333333333,0.5881443778180635,6.16390784434617,0.3103078948981006
recent,3,1,94553,109.64416666666666,0.44056772392203314,6.787972228189959,0.018133576890579213
recent,3,2,94312,90.75236111111111,0.4700250233268301,6.7884742418068775,0.03492697274815147
recent,3,3,77070,56.17958333333333,0.5318411833398209,6.790702859833591,0.06694547613819037
recent,3,4,42598,40.52708333333334,0.5700267618198037,6.79999294074571,0.20809092098825505
recent,4,1,74798,142.4211111111111,0.40200272734565096,7.1842121106509405,0.018485764194790404
recent,4,2,89199,165.42222222222222,0.391798114328636,7.202326029791383,0.03550385604606405
recent,4,3,89419,134.20666666666668,0.41864704369317485,7.216991522040272,0.06659647721886594
recent,4,4,55116,91.96986111111111,0.46661586472167793,7.229667455176827,0.19234044355190408
