pool_type,pool_n,formula_raw,brute_raw,abs_error_raw,formula_residual,brute_residual,abs_error_residual,check_id
active,165,0.012080711780678065,0.01208071178067806,5.204170427930421e-18,0.013978993731777344,0.013978993731777344,0.0,1
lag_weighted_35_65d,461,0.013463473438479185,0.013463473438479189,3.469446951953614e-18,0.01421925502920991,0.014219255029209921,1.0408340855860843e-17,1
posting_16d,229,0.01513789615941982,0.015137896159419819,1.734723475976807e-18,0.017139256129588564,0.017139256129588568,3.469446951953614e-18,1
active,560,0.06195605693171711,0.06195605693171708,2.7755575615628914e-17,0.03945739704309175,0.03945739704309174,1.3877787807814457e-17,2
lag_weighted_35_65d,1953,0.07026155624336436,0.07026155624336426,9.71445146547012e-17,0.0427840075967724,0.04278400759677233,6.938893903907228e-17,2
posting_16d,1405,0.06838715797807661,0.06838715797807655,5.551115123125783e-17,0.03740178576824533,0.037401785768245245,8.326672684688674e-17,2
active,430,0.03362184507551714,0.03362184507551712,2.0816681711721685e-17,0.04135363451066604,0.04135363451066601,2.7755575615628914e-17,3
lag_weighted_35_65d,2763,0.06404080658925108,0.06404080658925117,8.326672684688674e-17,0.09044755933353692,0.09044755933353688,4.163336342344337e-17,3
posting_16d,735,0.044831647629273,0.044831647629272935,6.245004513516506e-17,0.054534672892051723,0.054534672892051744,2.0816681711721685e-17,3
active,269,0.02982028858042359,0.029820288580423612,2.0816681711721685e-17,0.030430747329728853,0.030430747329728853,0.0,4
lag_weighted_35_65d,485,0.024158761406085614,0.02415876140608561,3.469446951953614e-18,0.025052151342587228,0.025052151342587217,1.0408340855860843e-17,4
posting_16d,315,0.02911116016330475,0.029111160163304766,1.734723475976807e-17,0.03026403321615337,0.03026403321615337,0.0,4
active,2379,0.043851244216280005,0.04385124421628002,1.3877787807814457e-17,0.028589811914840314,0.028589811914840193,1.214306433183765e-16,5
lag_weighted_35_65d,4982,0.047462201005769956,0.04746220100576994,1.3877787807814457e-17,0.023701410412157935,0.023701410412157897,3.8163916471489756e-17,5
posting_16d,2310,0.036888909808835205,0.03688890980883533,1.249000902703301e-16,0.02865708119867614,0.028657081198676066,7.28583859910259e-17,5
active,957,0.015925647399944252,0.015925647399944225,2.7755575615628914e-17,0.014785507228892448,0.01478550722889246,1.214306433183765e-17,6
lag_weighted_35_65d,2945,0.015002040280404449,0.01500204028040445,1.734723475976807e-18,0.01508830256999996,0.015088302570000003,4.336808689942018e-17,6
posting_16d,2005,0.015050980696124934,0.015050980696124927,6.938893903907228e-18,0.014619928547485138,0.014619928547485138,0.0,6
active,271,0.009502815457767754,0.009502815457767752,1.734723475976807e-18,0.012186238686909562,0.012186238686909573,1.0408340855860843e-17,7
lag_weighted_35_65d,1686,0.01214812500217921,0.012148125002179211,1.734723475976807e-18,0.013824483960430416,0.013824483960430418,1.734723475976807e-18,7
posting_16d,1461,0.013469078538379652,0.013469078538379656,3.469446951953614e-18,0.01180594270707802,0.01180594270707802,0.0,7
active,861,0.07617763479319613,0.07617763479319609,4.163336342344337e-17,0.06956946588477676,0.06956946588477672,4.163336342344337e-17,8
lag_weighted_35_65d,2669,0.08351743955942735,0.08351743955942707,2.7755575615628914e-16,0.07639248367282432,0.076392483672824,3.191891195797325e-16,8
posting_16d,1416,0.10496879287017173,0.10496879287017184,1.1102230246251565e-16,0.08738645946873778,0.08738645946873777,1.3877787807814457e-17,8
active,494,0.017378852918541608,0.0173788529185416,6.938893903907228e-18,0.018172688477440815,0.01817268847744083,1.3877787807814457e-17,9
lag_weighted_35_65d,2394,0.014830216287540015,0.014830216287540022,6.938893903907228e-18,0.016536721177875694,0.01653672117787568,1.3877787807814457e-17,9
posting_16d,579,0.016505310940916857,0.016505310940916847,1.0408340855860843e-17,0.017575095591523742,0.01757509559152374,3.469446951953614e-18,9
active,1880,0.40003176348640845,0.4000317634864101,1.6653345369377348e-15,0.21732894972184116,0.21732894972184194,7.771561172376096e-16,10
lag_weighted_35_65d,2455,0.2321058279693549,0.2321058279693544,4.996003610813204e-16,0.13438167337722995,0.13438167337722967,2.7755575615628914e-16,10
posting_16d,1446,0.38288905242443744,0.38288905242443905,1.609823385706477e-15,0.21693181457520036,0.21693181457520092,5.551115123125783e-16,10
active,885,0.20255014679955588,0.2025501467995557,1.6653345369377348e-16,0.04370847240514533,0.04370847240514534,6.938893903907228e-18,11
lag_weighted_35_65d,3115,0.29249951514595596,0.29249951514595574,2.220446049250313e-16,0.08789183737450643,0.08789183737450627,1.5265566588595902e-16,11
posting_16d,270,0.12227704314011421,0.12227704314011408,1.3877787807814457e-16,0.025281144901283196,0.025281144901283196,0.0,11
active,1199,0.1303168532171742,0.13031685321717407,1.3877787807814457e-16,0.1237373927247273,0.1237373927247273,0.0,12
lag_weighted_35_65d,4567,0.16870557613261594,0.16870557613261625,3.0531133177191805e-16,0.16240048863213316,0.16240048863213302,1.3877787807814457e-16,12
posting_16d,3198,0.15369061729719444,0.15369061729719502,5.828670879282072e-16,0.14467397840929394,0.14467397840929136,2.581268532253489e-15,12
active,1375,0.11076900953467161,0.11076900953467146,1.5265566588595902e-16,0.0527933451659251,0.05279334516592508,2.0816681711721685e-17,13
lag_weighted_35_65d,3503,0.17011814730632202,0.1701181473063227,6.661338147750939e-16,0.0878461365362437,0.08784613653624418,4.85722573273506e-16,13
posting_16d,2666,0.11992583225938606,0.11992583225938616,9.71445146547012e-17,0.06309009300705944,0.0630900930070594,4.163336342344337e-17,13
active,1903,0.3778770763451017,0.37787707634510537,3.6637359812630166e-15,0.19851865177415295,0.19851865177415365,6.938893903907228e-16,14
lag_weighted_35_65d,3470,0.42661675914330105,0.4266167591433007,3.3306690738754696e-16,0.20645255529236736,0.20645255529236703,3.3306690738754696e-16,14
posting_16d,1168,0.3571473908420934,0.3571473908420953,1.887379141862766e-15,0.20774041279142,0.2077404127914209,8.881784197001252e-16,14
active,498,0.018894314309395092,0.018894314309395102,1.0408340855860843e-17,0.01946037921083036,0.01946037921083035,1.0408340855860843e-17,15
lag_weighted_35_65d,2332,0.02653586892393685,0.026535868923936824,2.7755575615628914e-17,0.02795697355777583,0.027956973557775804,2.42861286636753e-17,15
posting_16d,1117,0.02421466904723039,0.024214669047230474,8.326672684688674e-17,0.0251321360515987,0.02513213605159868,2.0816681711721685e-17,15
active,614,0.03614389437825058,0.036143894378250566,1.3877787807814457e-17,0.019354186068889136,0.019354186068889116,2.0816681711721685e-17,16
lag_weighted_35_65d,1996,0.03608646012107454,0.03608646012107455,6.938893903907228e-18,0.017694517101194976,0.01769451710119498,3.469446951953614e-18,16
posting_16d,1099,0.041923378040477424,0.0419233780404774,2.0816681711721685e-17,0.02125606442276906,0.021256064422769037,2.42861286636753e-17,16
active,58,0.02737795455911292,0.02737795455911292,0.0,0.030977921107087223,0.030977921107087213,1.0408340855860843e-17,17
lag_weighted_35_65d,282,0.0161570239364338,0.01615702393643379,1.0408340855860843e-17,0.01934256591017684,0.019342565910176846,6.938893903907228e-18,17
posting_16d,156,0.017804729776789457,0.017804729776789437,2.0816681711721685e-17,0.020280242823209643,0.020280242823209654,1.0408340855860843e-17,17
