model,outcome,representation,vcov,n,r2,within_r2,term,coefficient,estimate,std_error,statistic,p_value,ci_low,ci_high
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,CH,active_raw_CH,0.10166469106034448,0.032765624890880175,3.102785049847816,0.003307876969979917,0.0356713349288241,0.16765804719186486
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,VG,active_raw_VG,0.041747549457069176,0.013614517645611952,3.0663994526845895,0.003658369557155705,0.014326503329064058,0.0691685955850743
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658595,0.25722339742119826,CH,active_raw_CH,-0.02722976458679263,0.005018139992269169,-5.4262664311362725,2.199060677332554e-06,-0.03733681735110047,-0.017122711822484787
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658595,0.25722339742119826,VG,active_raw_VG,-0.005979903733173222,0.0034167306408620537,-1.7501829560859004,0.08690292944495681,-0.01286155249582651,0.0009017450294800675
active_residual_text,log_funding_hours,recurring-language-removed use TF-IDF,country + week two-way CRV1,1149206,0.5567390545624271,0.37709588288699203,CH,active_residual_CH,0.05231923367117746,0.03380644741934676,1.5476111116377227,0.12872068612570553,-0.015770446642151,0.12040891398450593
active_residual_text,log_funding_hours,recurring-language-removed use TF-IDF,country + week two-way CRV1,1149206,0.5567390545624271,0.37709588288699203,VG,active_residual_VG,0.05846331080350475,0.016076572348473494,3.636553211484535,0.0007078017774082568,0.026083431954856177,0.09084318965215332
posting_14d_precommitted,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256347,0.5482143438677922,0.3610844232821513,CH,posting_14d_raw_CH,0.08933457976448496,0.019815487390569844,4.508321092672145,4.633402594445002e-05,0.04942413945881255,0.12924502007015737
posting_14d_precommitted,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256347,0.5482143438677922,0.3610844232821513,VG,posting_14d_raw_VG,0.026047968072382372,0.015982926754526703,1.6297370608299282,0.11013819046885787,-0.006143298868144211,0.05823923501290895
posting_16d_calibrated,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256576,0.5481841236304601,0.3610180021724907,CH,posting_16d_raw_CH,0.09937839682001902,0.019431652970955792,5.114253376620016,6.282337370322466e-06,0.060241038719660384,0.13851575492037765
posting_16d_calibrated,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256576,0.5481841236304601,0.3610180021724907,VG,posting_16d_raw_VG,0.017577585290769186,0.016364906278438694,1.0741024110799973,0.2885027014710493,-0.01538302790335163,0.05053819848489
completed_only_lag,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562066201734343,0.38680321125393324,CH,active_completed_lag_raw_CH,0.10254618133419421,0.03257871711088119,3.1476433214107162,0.002919225986890872,0.03692927679577798,0.16816308587261045
completed_only_lag,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562066201734343,0.38680321125393324,VG,active_completed_lag_raw_VG,0.04023897779228727,0.013775385763473627,2.921078108678717,0.005436238547409822,0.01249392664293407,0.06798402894164048
minimum_pool_5,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1246927,0.5640548067239752,0.38686787532704703,CH,active_raw_CH,0.1013364551411864,0.028016735541874435,3.6169972404431876,0.0007504110564291455,0.04490785314091864,0.15776505714145417
minimum_pool_5,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1246927,0.5640548067239752,0.38686787532704703,VG,active_raw_VG,0.0385580483000425,0.012582244491287038,3.06448092999172,0.0036777861440069337,0.013216107030413916,0.06389998956967109
minimum_pool_20,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1207447,0.5591884534258135,0.3867466579940497,CH,active_raw_CH,0.09856025306181565,0.036556396237952885,2.696115131816257,0.009833244764640314,0.024931891513683718,0.17218861460994758
minimum_pool_20,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1207447,0.5591884534258135,0.3867466579940497,VG,active_raw_VG,0.05368380346498216,0.01372670629000601,3.910902027827875,0.0003074247646572825,0.02603679780810902,0.0813308091218553
exclude_refunded,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,CH,active_raw_CH,0.10166469106034448,0.032765624890880175,3.102785049847816,0.003307876969979917,0.0356713349288241,0.16765804719186486
exclude_refunded,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,VG,active_raw_VG,0.041747549457069176,0.013614517645611952,3.0663994526845895,0.003658369557155705,0.014326503329064058,0.0691685955850743
country_cluster_only,log_funding_hours,masked use TF-IDF,country CRV1,1234131,0.5620882617001549,0.3868340997129863,CH,active_raw_CH,0.10166469106034448,0.03266794113874199,3.11206300478413,0.0032237003273443143,0.03586808010504422,0.16746130201564474
country_cluster_only,log_funding_hours,masked use TF-IDF,country CRV1,1234131,0.5620882617001549,0.3868340997129863,VG,active_raw_VG,0.041747549457069176,0.013813527601217063,3.022222176860235,0.00413081700282647,0.013925676703058776,0.06956942221107958
week_cluster_only,log_funding_hours,masked use TF-IDF,week CRV1,1234131,0.5620882617001549,0.3868340997129863,CH,active_raw_CH,0.10166469106034448,0.012649422564932936,8.037101341066906,7.771561172376096e-15,0.07680701710553008,0.1265223650151589
week_cluster_only,log_funding_hours,masked use TF-IDF,week CRV1,1234131,0.5620882617001549,0.3868340997129863,VG,active_raw_VG,0.041747549457069176,0.010076861769371162,4.1429117926338686,4.0802126487493595e-05,0.02194527444689043,0.061549824467247924
