model,outcome,representation,vcov,n,r2,within_r2,term,coefficient,estimate,std_error,statistic,p_value,ci_low,ci_high
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,C,active_raw_Cz,0.5202465351145488,0.039727016249110424,13.095535085049288,0.0,0.44023221705709104,0.6002608531720065
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,H,active_raw_Hz,0.40360517015428354,0.06344096519140571,6.3619014770122,9.047758897651192e-08,0.27582850716840146,0.5313818331401656
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,CH,active_raw_CH,0.10166469106034448,0.032765624890880175,3.102785049847816,0.003307876969979917,0.0356713349288241,0.16765804719186486
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,V,active_raw_Vz,0.049666447460706094,0.07046218863713659,0.7048666585773601,0.48452566507835115,-0.09225168546131221,0.19158458038272438
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,G,active_raw_Gz,-0.1385318811881987,0.05834983670900246,-2.374160563277556,0.021915444074308787,-0.2560544850444446,-0.02100927733195282
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.5620882617001549,0.3868340997129863,VG,active_raw_VG,0.041747549457069176,0.013614517645611952,3.0663994526845895,0.003658369557155705,0.014326503329064058,0.0691685955850743
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658595,0.25722339742119826,C,active_raw_Cz,-0.09309855759593488,0.011563207626238721,-8.051274404576091,2.9032265480566366e-10,-0.11638805326227514,-0.06980906192959463
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658595,0.25722339742119826,H,active_raw_Hz,-0.08057718908830147,0.009263461285838553,-8.698388928497303,3.395284053908654e-11,-0.09923475785687542,-0.06191962031972752
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658595,0.25722339742119826,CH,active_raw_CH,-0.02722976458679263,0.005018139992269169,-5.4262664311362725,2.199060677332554e-06,-0.03733681735110047,-0.017122711822484787
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658595,0.25722339742119826,V,active_raw_Vz,-0.015419286507070189,0.014477234007600367,-1.0650713042957831,0.29252526232586984,-0.04457793258339913,0.01373935956925875
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658595,0.25722339742119826,G,active_raw_Gz,0.026906128877599488,0.010872600437985911,2.4746728283692634,0.01717046430966107,0.005007587489504688,0.04880467026569429
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658595,0.25722339742119826,VG,active_raw_VG,-0.005979903733173222,0.0034167306408620537,-1.7501829560859004,0.08690292944495681,-0.01286155249582651,0.0009017450294800675
