dimension,group,channel,term,estimate,std_error,ci_low,ci_high,p_value,scenario_percent_change,scenario_ci_low,scenario_ci_high,scenario_unit,n,vcov,q_value_bh
year,2016,current,CH,0.03503452933857212,0.059595431975830324,-0.08561011534911156,0.15567917402625578,0.5600953646095141,70.40488512081396,40.40960205067041,106.80797074375839,percent change in conditional geometric mean of (1 + funding hours),102466,country + week two-way CRV1,0.5600953646095141
year,2016,recent,VG,0.00468134131985867,0.013978458164140192,-0.023616567808114358,0.0329792504478317,0.7395445878514155,37.15214392563352,9.045726059271688,72.50296057612702,percent change in conditional geometric mean of (1 + funding hours),102466,country + week two-way CRV1,0.8319876613328425
year,2017,current,CH,0.041064302135927835,0.049176049710001,-0.058487405901243086,0.14061601017309877,0.40891089137720105,59.302767850003555,32.76623141128787,91.14327171084054,percent change in conditional geometric mean of (1 + funding hours),153560,country + week two-way CRV1,0.4600247527993512
year,2017,recent,VG,0.04183852466168553,0.02813476882500717,-0.015117337150671407,0.09879438647404246,0.1452461476386051,35.38602048877844,13.259828067998214,61.834737492127054,percent change in conditional geometric mean of (1 + funding hours),153560,country + week two-way CRV1,0.2269470308574718
year,2018,current,CH,0.4308840329346918,0.10299462348811046,0.22219710309056145,0.6395709627788222,0.00016926138097916876,264.88017863161366,137.3995321892603,460.8163736906524,percent change in conditional geometric mean of (1 + funding hours),145008,country + week two-way CRV1,0.0005077841429375063
year,2018,recent,VG,-0.15056851021510423,0.10275923462625115,-0.35877849692145425,0.05764147649124576,0.15129802057164787,13.062644941912344,-18.77605844987441,57.38169605290684,percent change in conditional geometric mean of (1 + funding hours),145008,country + week two-way CRV1,0.2269470308574718
year,2019,current,CH,0.029773899538413615,0.025701859839673387,-0.022458564000016206,0.08200636307684343,0.2547594924461607,88.77112444234973,61.51512383301374,120.62662973945835,percent change in conditional geometric mean of (1 + funding hours),133897,country + week two-way CRV1,0.3275479188593495
year,2019,recent,VG,-0.053361121543276865,0.018536432741833104,-0.09103168520520438,-0.015690557881349355,0.00685799470010684,25.642850714059517,9.304685983844417,44.42313971688904,percent change in conditional geometric mean of (1 + funding hours),133897,country + week two-way CRV1,0.06172195230096156
year,2020,current,CH,0.02669225709551848,0.021090310458298435,-0.01621630215984545,0.06960081635088242,0.2145132266665799,74.46966597305601,53.254888279408554,98.6211643001774,percent change in conditional geometric mean of (1 + funding hours),127092,country + week two-way CRV1,0.32176983999986986
year,2020,recent,VG,-0.06665236994782718,0.03381147618623933,-0.1354423354780751,0.0021375955824207427,0.05712348431459535,-18.54927543880622,-34.11571926993916,0.6950437650672878,percent change in conditional geometric mean of (1 + funding hours),127092,country + week two-way CRV1,0.18748504823784595
year,2021,current,CH,0.02581813491536196,0.014423152162291158,-0.003493236873508228,0.05512950670423215,0.08235580946536536,93.6231162475249,67.4933364732513,123.82926947896628,percent change in conditional geometric mean of (1 + funding hours),153895,country + week two-way CRV1,0.14824045703765765
year,2021,recent,VG,0.06074457722979964,0.034046800706072404,-0.008446846564950629,0.1299360010245499,0.08332668810570931,-10.103503387699966,-21.951776762961135,3.543421848585284,percent change in conditional geometric mean of (1 + funding hours),153895,country + week two-way CRV1,0.18748504823784595
year,2022,current,CH,0.19120517683824192,0.027022856962392542,0.13622676096746894,0.2461835927090149,4.232002859261286e-08,84.08502223470862,45.729620697618074,132.53539842437158,percent change in conditional geometric mean of (1 + funding hours),136841,country + week two-way CRV1,3.808802573335157e-07
year,2022,recent,VG,-0.0020228079835227057,0.044248521355885126,-0.09204710157158473,0.08800148560453931,0.9638131712247389,17.138249062972495,-1.3595490120507605,39.10489313573086,percent change in conditional geometric mean of (1 + funding hours),136841,country + week two-way CRV1,0.9638131712247389
year,2023,current,CH,0.13623438830392012,0.023884538821621976,0.0878397157606235,0.18462906084721675,1.5812738158871298e-06,107.8879235672268,76.73254524573842,144.53554213798796,percent change in conditional geometric mean of (1 + funding hours),141311,country + week two-way CRV1,7.115732171492084e-06
year,2023,recent,VG,-0.014693979443935084,0.029575442916283765,-0.07461951897165692,0.04523156008378675,0.6222479376839756,15.113805300310343,-0.627731944273658,33.34895569945841,percent change in conditional geometric mean of (1 + funding hours),141311,country + week two-way CRV1,0.80003306273654
year,2024,current,CH,0.062252114754115566,0.03426787783344941,-0.0074664069091623445,0.13197063641739348,0.0783663631183864,92.69786781059504,42.47479576895712,160.6248218033249,percent change in conditional geometric mean of (1 + funding hours),140028,country + week two-way CRV1,0.14824045703765765
year,2024,recent,VG,0.03677663604209816,0.019829098081490585,-0.0035659673393177646,0.07711923942351409,0.0725957721503967,11.827841839355752,-3.5080082756931814,29.60107866959674,percent change in conditional geometric mean of (1 + funding hours),140028,country + week two-way CRV1,0.18748504823784595
