dimension,group,channel,term,estimate,std_error,ci_low,ci_high,p_value,scenario_percent_change,scenario_ci_low,scenario_ci_high,scenario_unit,n,vcov,q_value_bh
sector,Agriculture,current,CH,-0.018120170656240272,0.18122879161362343,-0.3843972214014786,0.34815688008899803,0.9208556427606813,58.67861008342593,19.353476886665614,110.96076926118397,percent change in conditional geometric mean of (1 + funding hours),402595,country + week two-way CRV1,0.9208556427606813
sector,Agriculture,recent,VG,0.4076522078691475,0.20538184477974145,-0.007439984230890928,0.8227443999691859,0.05404903038699849,-30.111086897965045,-51.38730300415475,0.4770456368888674,percent change in conditional geometric mean of (1 + funding hours),402595,country + week two-way CRV1,0.09458580317724735
sector,Food,current,CH,0.2804994916606479,0.21649669570991042,-0.15672445529069584,0.7177234386119917,0.2023503710198078,337.2724751390206,188.85448381538288,561.9499721403415,percent change in conditional geometric mean of (1 + funding hours),259893,country + week two-way CRV1,0.3147672438085899
sector,Food,recent,VG,0.9327130998122185,0.3380733084581811,0.24996020236825678,1.6154659972561802,0.008627004932144633,-41.72838224672487,-58.23280236444247,-18.70219627344449,percent change in conditional geometric mean of (1 + funding hours),259893,country + week two-way CRV1,0.030194517262506215
sector,Retail,current,CH,0.04352413976805,0.04786822411756788,-0.05329848251283924,0.14034676204893926,0.36880373436151626,70.16583953851682,21.33369740604661,138.651038952063,percent change in conditional geometric mean of (1 + funding hours),235331,country + week two-way CRV1,0.46938657100556613
sector,Retail,recent,VG,0.26016650119812107,0.06024830756848728,0.1383027965317598,0.38203020586448233,0.00010455435489942211,15.230175574821786,-1.9344799566326594,35.39920409469456,percent change in conditional geometric mean of (1 + funding hours),235331,country + week two-way CRV1,0.0014637609685919095
sector,Housing,current,CH,-0.09171183256683933,0.013429591844269295,-0.11937059471785316,-0.0640530704158255,3.7038244471432336e-07,27.019082619049044,9.150576015665383,47.81275498783683,percent change in conditional geometric mean of (1 + funding hours),74031,country + week two-way CRV1,5.185354226000527e-06
sector,Housing,recent,VG,0.02624333063599934,0.02357082553123636,-0.0223016932658036,0.07478835453780228,0.2761353394385022,11.328567087399477,-4.317370934320823,29.53291491631141,percent change in conditional geometric mean of (1 + funding hours),74031,country + week two-way CRV1,0.32215789601158595
sector,Services,current,CH,0.8314032435392968,0.44273817646037716,-0.06487333702811837,1.727679824106712,0.06808982683950204,154.45828454097122,-27.602526699002013,794.3546731573756,percent change in conditional geometric mean of (1 + funding hours),55098,country + week two-way CRV1,0.1361796536790041
sector,Services,recent,VG,0.5289797607935783,0.4335873525398079,-0.3487719452340504,1.4067314668212072,0.22997977213959175,-8.678616605116003,-66.50759333836528,148.99957621463892,percent change in conditional geometric mean of (1 + funding hours),55098,country + week two-way CRV1,0.29270152817766226
sector,Personal Use,current,CH,0.044580208483783634,0.021091010923613155,0.0015066177989399507,0.08765379916862731,0.042964886224531984,25.336933448426308,6.738569164867244,47.17591784456805,percent change in conditional geometric mean of (1 + funding hours),42577,country + week two-way CRV1,0.10025140119057463
sector,Personal Use,recent,VG,0.05583327392880571,0.024108521377718104,0.006597104756942446,0.10506944310066897,0.027581574996415892,11.618206841645065,-5.907437128548906,32.40817040519118,percent change in conditional geometric mean of (1 + funding hours),42577,country + week two-way CRV1,0.06435700832497042
sector,Clothing,current,CH,0.09964891629450802,0.19904766753455794,-0.3036599674475373,0.5029578000365533,0.6195977616407498,48.20337084927414,-2.9096386904196083,126.22471309023912,percent change in conditional geometric mean of (1 + funding hours),35932,country + week two-way CRV1,0.6672591279208074
sector,Clothing,recent,VG,-0.5600597952960175,0.2294337801003688,-1.024936791299663,-0.09518279929237206,0.01954934082517501,-17.513787322197825,-47.31402812668857,29.14206647432521,percent change in conditional geometric mean of (1 + funding hours),35932,country + week two-way CRV1,0.05473815431049003
sector,Education,current,CH,0.13960294167837717,0.04151600258448761,0.05469318256972519,0.22451270078702915,0.0021826952422023815,61.07287410309547,31.547461918232244,97.22517176316411,percent change in conditional geometric mean of (1 + funding hours),34056,country + week two-way CRV1,0.01018591113027778
