model,outcome,n,term,estimate_per_sd,std_error,p_value,ci_low,ci_high,regressor_sd,full_range_effect,full_range_unit,claim_boundary
A_use_only,log_funding_hours,1234131,share_use_z,0.05107983909801947,0.023845946257981216,0.037634836660870974,0.0030516379287489626,0.09910804026728998,0.35204747319221497,0.15614779325222883,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
B_description_only,log_funding_hours,1234131,share_desc_z,0.04071854003680481,0.05380618998306262,0.4531358881705412,-0.06765268955084829,0.1490897696244579,0.2822144031524658,0.1552101654651957,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
C_both,log_funding_hours,1234131,share_use_z,0.04487266812312665,0.020516668783398726,0.03397044680077088,0.003549975997937403,0.0861953602483159,0.35204747319221497,0.13594167935649434,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
C_both,log_funding_hours,1234131,share_desc_z,0.021939849215374292,0.057268464108604124,0.7034455784546858,-0.0934047584217664,0.137284456852515,0.2822144031524658,0.08084352404878761,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
D_both_plus_saturation,log_funding_hours,1234131,share_use_z,0.019262378512360363,0.01687915464611362,0.2598262790109409,-0.014733984061820967,0.05325874108654169,0.35204747319221497,0.05623984658284867,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
D_both_plus_saturation,log_funding_hours,1234131,share_desc_z,-0.010062299999517417,0.04994873784981027,0.8412526177163637,-0.11066422217314129,0.09053962217410647,0.2822144031524658,-0.03502666169602247,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
D_both_plus_saturation,log_funding_hours,1234131,Cz,0.5219453206483695,0.039200485187862406,0.0,0.4429914905857224,0.6008991507110166,,,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
D_both_plus_saturation,log_funding_hours,1234131,Hz,0.40219318877147425,0.059487658417335144,2.3070147348036585e-08,0.2823788943565333,0.5220074831864152,,,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
D_both_plus_saturation,log_funding_hours,1234131,CH,0.10155756508399864,0.03262121939667787,0.003213199911658915,0.03585505654772414,0.16726007362027315,,,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
D_both_plus_saturation,log_funding_hours,1234131,Vz,0.049807406178112815,0.06596514112749019,0.4541489504969416,-0.08305320811476848,0.18266802047099412,,,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
D_both_plus_saturation,log_funding_hours,1234131,Gz,-0.14014350286025648,0.055192579302318204,0.014637711939308629,-0.25130706387413043,-0.028979941846382515,,,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
D_both_plus_saturation,log_funding_hours,1234131,VG,0.04032325386376786,0.01474425384361073,0.008895742902266246,0.010626802230832039,0.07001970549670368,,,proportional change in (1+funding hours) from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
E_both_fast_funding,funded_within_72h,1234131,share_use_z,-0.011876825383150201,0.004354446608515952,0.009066556731282871,-0.02064713105406289,-0.003106519712237514,0.35204747319221497,-0.03373643127006781,change in 72h funding probability from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
E_both_fast_funding,funded_within_72h,1234131,share_desc_z,-0.010332152856914505,0.008075852524781324,0.20731786334676516,-0.02659775479517851,0.0059334490813495,0.2822144031524658,-0.03661100475914611,change in 72h funding probability from 0% to 100% recurring language,conditional association only; recurring-language share is a Lending Partner writing habit and no partner identifier exists in the extract
