min_docs,min_countries,is_production_setting,approved_phrases,screen_floor,train_documents
200,1,False,3779,200,1316684
200,2,False,1865,200,1316684
200,3,False,1302,200,1316684
200,5,False,801,200,1316684
200,10,False,356,200,1316684
300,1,False,2461,200,1316684
300,2,False,1261,200,1316684
300,3,False,882,200,1316684
300,5,False,543,200,1316684
300,10,False,248,200,1316684
400,1,False,1825,200,1316684
400,2,False,953,200,1316684
400,3,False,659,200,1316684
400,5,False,394,200,1316684
400,10,False,189,200,1316684
500,1,False,1444,200,1316684
500,2,False,765,200,1316684
500,3,False,528,200,1316684
500,5,False,305,200,1316684
500,10,False,150,200,1316684
659,1,False,1123,200,1316684
659,2,False,603,200,1316684
659,3,True,409,200,1316684
659,5,False,229,200,1316684
659,10,False,112,200,1316684
800,1,False,942,200,1316684
800,2,False,524,200,1316684
800,3,False,355,200,1316684
800,5,False,205,200,1316684
800,10,False,99,200,1316684
1000,1,False,762,200,1316684
1000,2,False,436,200,1316684
1000,3,False,300,200,1316684
1000,5,False,175,200,1316684
1000,10,False,82,200,1316684
1500,1,False,509,200,1316684
1500,2,False,321,200,1316684
1500,3,False,210,200,1316684
1500,5,False,116,200,1316684
1500,10,False,55,200,1316684
2000,1,False,393,200,1316684
2000,2,False,260,200,1316684
2000,3,False,171,200,1316684
2000,5,False,91,200,1316684
2000,10,False,42,200,1316684
3000,1,False,265,200,1316684
3000,2,False,178,200,1316684
3000,3,False,116,200,1316684
3000,5,False,58,200,1316684
3000,10,False,30,200,1316684
