model,term,estimate,std_error,p_value,n
baseline (country+activity+week FE),Cz,0.5153969413578239,0.0397512977437394,2.220446049250313e-16,1234131
baseline (country+activity+week FE),Hz,0.4012115592500838,0.0628042194428014,8.265775663929277e-08,1234131
baseline (country+activity+week FE),CH,0.1008915592851941,0.0327075770490353,0.0034783801256439,1234131
baseline (country+activity+week FE),Vz,0.0582510841856441,0.07122452357993,0.4177515468098083,1234131
baseline (country+activity+week FE),Gz,-0.1390300183705404,0.0581229717091995,0.0209956152808674,1234131
baseline (country+activity+week FE),VG,0.0410810256416248,0.0135903097247136,0.0041240867315519,1234131
+ day-of-month FE (Pacific),Cz,0.5251502280157886,0.0407469632755172,2.220446049250313e-16,1234131
+ day-of-month FE (Pacific),Hz,0.3945052554224969,0.0637266441456436,1.6268006142183824e-07,1234131
+ day-of-month FE (Pacific),CH,0.0974782792751479,0.032318293473952,0.0041995401841481,1234131
+ day-of-month FE (Pacific),Vz,0.0267551934364395,0.0762802183450683,0.7274135528512864,1234131
+ day-of-month FE (Pacific),Gz,-0.1326531778612982,0.0588960444932817,0.0292265014772332,1234131
+ day-of-month FE (Pacific),VG,0.0417838473622469,0.0132820427987356,0.0029335706814275,1234131
