dom,loans,mean_H,median_pool,philippines_share_pct
1,5151,0.06860294631341247,1047.0,7.241312366530771
2,5101,0.06934075935884979,904.0,10.448931582042736
3,5650,0.06533580046572081,903.0,11.787610619469028
4,5142,0.06971219704179295,892.0,13.418903150525088
5,4905,0.07650911868257752,900.0,13.496432212028541
6,4904,0.07377537412298953,895.0,14.64110929853181
7,5520,0.11298816784437658,750.0,35.05434782608695
8,5303,0.11116542002406452,756.0,36.941353950594
9,4170,0.059148328213726016,833.0,17.697841726618705
10,4419,0.06546922226533246,802.0,22.720072414573433
11,4436,0.06423635252493196,833.5,17.899008115419296
12,4124,0.0657969498706348,762.5,16.416100872938895
13,4457,0.06122576859850678,788.0,17.567870765088625
14,4150,0.059925816507262815,770.0,17.012048192771083
15,4735,0.05575573452713225,801.0,16.409714889123546
16,4422,0.05976858253100021,789.5,17.955676164631388
17,13144,0.10567687444293712,817.0,13.336883749239197
18,53765,0.20446222346929907,969.0,70.95880219473635
19,11761,0.19997226460532083,1019.0,58.77051271150412
20,10221,0.17604493709163016,1070.0,56.91223950689756
21,10312,0.1983147509924773,893.0,57.1567106283941
22,10439,0.1593635324613412,928.0,54.14311715681579
23,10885,0.1446062510338348,940.0,42.351860358291226
24,11061,0.13701949051243964,945.0,48.25061025223759
25,9122,0.13053811282581945,941.0,40.6270554702916
26,8041,0.11173418367399184,957.0,35.79156821290884
27,9065,0.09771879281402397,1006.0,30.965250965250966
28,9805,0.10212303060245463,975.0,23.722590515043347
29,10226,0.09064678718002049,1000.0,22.511245843927245
30,11284,0.10741731713345348,989.0,25.274725274725274
31,7723,0.09191124732451399,1015.0,18.542017350770426
