hour_utc,loans,index
0,51858,0.9100954999488131
1,50926,0.8937391228044518
2,47294,0.8299983912719189
3,43414,0.761905319040028
4,39305,0.6897933515655849
5,36264,0.6364245287157962
6,35181,0.6174181376778741
7,33388,0.5859514164119514
8,32060,0.5626453339573249
9,30278,0.5313716600611317
10,29237,0.5131023589803588
11,46165,0.8101847112333094
12,54875,0.9630431285373736
13,64442,1.1309416909194612
14,75230,1.320268511341533
15,79050,1.3873085979203532
16,95669,1.6789680740599908
17,96703,1.697114526814572
18,86669,1.5210202260994192
19,75471,1.3244980037146994
20,73937,1.2975766705178642
21,71094,1.247682700323208
22,61426,1.0780116120917853
23,57604,1.010936425991196
