sector,loans,mean_H_raw,mean_H_residual,mean_boilerplate,survival_pct
Water,2,0.0709706134752129,0.08218823301023137,0.0,115.80600615624708
Wholesale,18,0.07082700953593142,0.07741490076064596,0.055555556,109.30138271808923
Construction,9077,0.04592790525009122,0.04822198545192029,0.05122297,104.99495935932003
Arts,13518,0.10444039367586916,0.10512896091057011,0.060248338,100.65929207126307
Housing,74036,0.3007694313318189,0.301913754881547,0.0044460595,100.38046537663786
Manufacturing,4199,0.050928587420192475,0.05083088231709986,0.062293585,99.80815273298965
Transportation,16722,0.06724783166022501,0.06602960979722922,0.064672984,98.18845926638802
Reuse & Recycle,15349,0.07817058214312995,0.0766884569333986,0.08034119,98.10398596364858
Services,55101,0.03705418357423355,0.035411167603955546,0.06561472,95.56590967120779
Health,14620,0.1701104284416028,0.15865271414655638,0.10035334,93.26454327344209
Clothing,35933,0.06860656777030782,0.061318377765183986,0.13296947,89.37683338201028
Personal Use,42586,0.3273416658149819,0.2508733656174002,0.4469989,76.63960681351128
Education,34060,0.14540839234274314,0.10961594634052578,0.2028016,75.38488293175628
Agriculture,402595,0.06792829421656418,0.04666702063373287,0.29325083,68.70041588995652
Food,259893,0.0452259203382304,0.027477197136093454,0.28167537,60.75541842067593
Retail,235332,0.11592985214628523,0.06773852710518469,0.36734623,58.43061631762397
Clean Energy,21090,0.4207985698512516,0.24378161843268656,0.3939538,57.933091008094706
PLATFORM (all),1234131,0.10353925094849437,0.07785669361361774,0.26416427,75.19534176690884
Philippines x General Store,117291,0.19993797912635242,0.11412857457987641,0.57817215,57.081988663970606
