fundraising_year,loans,median_funding_hours,mean_H,mean_C,median_pool,mean_boilerplate,loans_q1q3,median_funding_hours_q1q3
2016,102468,40.84125,0.08455873769370972,5.791014992645598,493.0,0.24480045,68238,43.349999999999994
2017,153563,27.738055555555555,0.0824658295341353,5.758936825946412,428.0,0.23949167,116334,26.846805555555555
2018,145009,28.975277777777777,0.05688146362023967,5.790082599195642,446.0,0.22523895,108655,27.135277777777777
2019,133897,44.88333333333333,0.13167981903790224,5.880707489890325,523.0,0.21640588,96818,46.65819444444445
2020,127096,120.27527777777777,0.12873055154905882,6.66762936865114,1293.0,0.32109913,85627,112.2075
2021,153903,131.5336111111111,0.13302959725494373,6.8107627608058845,1333.0,0.3511354,117259,143.65583333333333
2022,136845,118.0325,0.1159860757352415,6.569161823559065,1129.0,0.3010867,102938,133.70569444444445
2023,141316,132.38694444444445,0.09236619390721934,6.537274555628573,1137.0,0.25031906,105070,121.49055555555556
2024,140034,110.5648611111111,0.10578252161298636,6.520573852860431,1030.0,0.22199382,104519,121.16222222222223
2025,133409,65.23555555555555,0.15644053663920507,6.251786319738879,769.0,0.22245926,102569,68.12444444444445
