column_name,column_type,null,key,default,extra
activity,VARCHAR,YES,,,
borrowerCount,BIGINT,YES,,,
city,VARCHAR,YES,,,
country_iso,VARCHAR,YES,,,
country_latitude,DOUBLE,YES,,,
country_longitude,DOUBLE,YES,,,
country_name,VARCHAR,YES,,,
country_ppp,DOUBLE,YES,,,
description,VARCHAR,YES,,,
disbursalDate,VARCHAR,YES,,,
fundraisingDate,VARCHAR,YES,,,
fundsLentInCountry,BIGINT,YES,,,
gender,VARCHAR,YES,,,
id,BIGINT,YES,,,
image_url,VARCHAR,YES,,,
latitude,DOUBLE,YES,,,
lenderRepaymentTerm,BIGINT,YES,,,
loanAmount,DOUBLE,YES,,,
longitude,DOUBLE,YES,,,
name,VARCHAR,YES,,,
raisedDate,VARCHAR,YES,,,
region,VARCHAR,YES,,,
repaymentInterval,VARCHAR,YES,,,
sector,VARCHAR,YES,,,
status,VARCHAR,YES,,,
use,VARCHAR,YES,,,
whySpecial,VARCHAR,YES,,,
_source_row,BIGINT,YES,,,
