model,outcome,representation,vcov,n,r2,within_r2,term,coefficient,estimate,std_error,statistic,p_value,ci_low,ci_high,specification
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.3868340997129836,CH,active_raw_CH,0.1016646910603867,0.032765624890871,3.102785049849972,0.0033078769699601,0.0356713349288847,0.1676580471918887,Active pool · masked use
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.3868340997129836,VG,active_raw_VG,0.0417475494569139,0.0136145176455901,3.066399452678104,0.0036583695572209,0.0143265033289527,0.0691685955848751,Active pool · masked use
active_residual_text,log_funding_hours,recurring-language-removed use TF-IDF,country + week two-way CRV1,1149206,0.5567390545624271,0.377095882886992,CH,active_residual_CH,0.0523192336711789,0.0338064474193462,1.547611111637789,0.1287206861256895,-0.0157704466421485,0.1204089139845064,Active pool · recurring language removed
active_residual_text,log_funding_hours,recurring-language-removed use TF-IDF,country + week two-way CRV1,1149206,0.5567390545624271,0.377095882886992,VG,active_residual_VG,0.0584633108035027,0.0160765723484741,3.636553211484262,0.0007078017774087,0.0260834319548528,0.0908431896521527,Active pool · recurring language removed
posting_14d_precommitted,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256347,0.5482143438677946,0.3610844232821544,CH,posting_14d_raw_CH,0.0893345797645929,0.0198154873906184,4.508321092666546,4.63340259453382e-05,0.0494241394588227,0.1292450200703631,14-day posting window
posting_14d_precommitted,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256347,0.5482143438677946,0.3610844232821544,VG,posting_14d_raw_VG,0.0260479680721784,0.0159829267545701,1.6297370608127435,0.1101381904725042,-0.0061432988684355,0.0582392350127925,14-day posting window
posting_16d_calibrated,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256576,0.5481841236304615,0.3610180021724928,CH,posting_16d_raw_CH,0.0993783968200731,0.0194316529709739,5.114253376618031,6.282337370322466e-06,0.060241038719678,0.1385157549204683,16-day posting window
posting_16d_calibrated,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256576,0.5481841236304615,0.3610180021724928,VG,posting_16d_raw_VG,0.0175775852906741,0.0163649062784361,1.0741024110743616,0.2885027014735473,-0.0153830279034414,0.0505381984847898,16-day posting window
completed_only_lag,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562066201734343,0.3868032112539332,CH,active_completed_lag_raw_CH,0.1025461813341989,0.0325787171108824,3.14764332141074,0.0029192259868906,0.0369292767957801,0.1681630858726176,Completed-only lag pool
completed_only_lag,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562066201734343,0.3868032112539332,VG,active_completed_lag_raw_VG,0.0402389777922849,0.0137753857634742,2.92107810867841,0.0054362385474142,0.0124939266429304,0.0679840289416394,Completed-only lag pool
,,masked description hashed TF-IDF,,1234124,,,CH,,0.1297942252007292,0.0209880383328141,,1.662754429698765e-07,0.087522146068647,0.1720663043328113,Active pool · masked description
,,masked description hashed TF-IDF,,1234124,,,VG,,-0.013571893418069,0.0151645467702073,,0.37556262688808,-0.0441148584587858,0.0169710716226477,Active pool · masked description
