channel,left_quartile,right_quartile,n,median_funding_hours,fast_72h_rate,mean_left,mean_right
current,1,1,62213,49.63,0.5509941652066288,4.531235104550977,0.0163407145840213
current,1,2,55269,56.04527777777778,0.5303515533119832,4.546004529220683,0.0362971031999597
current,1,3,76883,62.992222222222225,0.5172274755147431,4.376739937250726,0.0726312359467529
current,1,4,114168,21.055555555555557,0.6857438161306145,4.200161729449457,0.328315799791773
current,2,1,103619,55.645833333333336,0.5345641243401307,6.219906463773473,0.0177628174950742
current,2,2,97954,32.23361111111111,0.5950752393980848,6.233844493413874,0.0356981503946836
current,2,3,66605,24.33416666666667,0.6163200960888822,6.247257387175428,0.0670637327170717
current,2,4,40355,44.13194444444444,0.577524470325858,6.213727543152925,0.3679415585238458
current,3,1,83667,117.9713888888889,0.4293209987211206,6.935595587435599,0.0182382630181106
current,3,2,89214,109.32208333333334,0.439762817495012,6.936170903092508,0.0358080699583254
current,3,3,75337,102.67944444444444,0.4472038971554481,6.949924982944437,0.0695379432555866
current,3,4,60315,117.2875,0.4163309292879051,6.962827906387476,0.2641963559600815
current,4,1,59034,128.7891666666667,0.4173696513873361,7.489044211334944,0.018287294778845
current,4,2,66096,167.15916666666666,0.383956669087388,7.505547644602476,0.0361331027095956
current,4,3,89708,167.60291666666666,0.3792192446604539,7.527590731380974,0.0731112370552178
current,4,4,93694,188.14111111111112,0.3718274382564518,7.567287864585731,0.2253914557729782
