pool,formula,brute,abs_error,check_id
active,0.0915311224942031,0.0915311224942031,0.0,1
lag_weighted,0.09379997665700249,0.09379997665700254,5.551115123125783e-17,1
active,0.08696232940167614,0.08696232940167616,1.3877787807814457e-17,2
lag_weighted,0.06347065845719635,0.0634706584571965,1.5265566588595902e-16,2
active,0.03289670779422394,0.03289670779422394,0.0,3
lag_weighted,0.037673291407930694,0.037673291407930735,4.163336342344337e-17,3
active,0.34205880895571034,0.34205880895571034,0.0,4
lag_weighted,0.21822281692971757,0.2182228169297174,1.6653345369377348e-16,4
active,0.058907053949155436,0.058907053949155415,2.0816681711721685e-17,5
lag_weighted,0.054965803303448725,0.0549658033034487,2.7755575615628914e-17,5
active,0.0932834945078813,0.09328349450788129,1.3877787807814457e-17,6
lag_weighted,0.09026855076200936,0.09026855076200935,1.3877787807814457e-17,6
active,0.05957719159686713,0.05957719159686713,0.0,7
lag_weighted,0.057880265359649616,0.057880265359649685,6.938893903907228e-17,7
active,0.16618899476870153,0.16618899476870153,0.0,8
lag_weighted,0.20248969472762918,0.20248969472762998,8.049116928532385e-16,8
active,0.0763848250028845,0.0763848250028845,0.0,9
lag_weighted,0.07440664849821708,0.07440664849821664,4.440892098500626e-16,9
active,0.3233598852611337,0.3233598852611337,0.0,10
lag_weighted,0.25864172716692657,0.2586417271669266,5.551115123125783e-17,10
active,0.04862169452432331,0.04862169452432331,0.0,11
lag_weighted,0.04974071930070777,0.049740719300707774,6.938893903907228e-18,11
active,0.3344758754972067,0.3344758754972067,0.0,12
lag_weighted,0.5452458581670071,0.5452458581670068,3.3306690738754696e-16,12
active,0.09418811566622574,0.09418811566622572,2.7755575615628914e-17,13
lag_weighted,0.08553769621183391,0.08553769621183392,1.3877787807814457e-17,13
active,0.14468976266743167,0.1446897626674317,2.7755575615628914e-17,14
lag_weighted,0.16850314530493624,0.1685031453049361,1.3877787807814457e-16,14
active,0.07732614307419734,0.07732614307419733,1.3877787807814457e-17,15
lag_weighted,0.08836897814186616,0.08836897814186605,1.1102230246251565e-16,15
active,0.08970523477623212,0.08970523477623212,0.0,16
lag_weighted,0.08811553347251895,0.08811553347251898,2.7755575615628914e-17,16
active,0.08497317864623687,0.08497317864623687,0.0,17
lag_weighted,0.08478421694311349,0.08478421694311356,6.938893903907228e-17,17
active,0.0675479164125902,0.0675479164125902,0.0,18
lag_weighted,0.06657178421708612,0.06657178421708604,8.326672684688674e-17,18
active,0.421572197015473,0.42157219701547305,5.551115123125783e-17,19
lag_weighted,0.38086463217612904,0.38086463217612865,3.885780586188048e-16,19
active,0.16676537882764278,0.16676537882764284,5.551115123125783e-17,20
lag_weighted,0.09518418134658335,0.09518418134658299,3.608224830031759e-16,20
active,0.03575031114880938,0.03575031114880938,0.0,21
lag_weighted,0.04100824763078305,0.04100824763078301,4.163336342344337e-17,21
active,0.1188884880374972,0.11888848803749719,1.3877787807814457e-17,22
lag_weighted,0.08820808944373883,0.08820808944373883,0.0,22
active,0.12935192549139268,0.12935192549139268,0.0,23
lag_weighted,0.17186390119580594,0.17186390119580597,2.7755575615628914e-17,23
active,0.06525562768726134,0.06525562768726134,0.0,24
lag_weighted,0.05754325533675511,0.05754325533675512,6.938893903907228e-18,24
active,0.06574292016750306,0.06574292016750306,0.0,25
lag_weighted,0.07221208786577626,0.07221208786577618,8.326672684688674e-17,25
active,0.058293122460305505,0.05829312246030551,6.938893903907228e-18,26
lag_weighted,0.15651552173119979,0.1565155217311998,2.7755575615628914e-17,26
active,0.12307377941091148,0.12307377941091147,1.3877787807814457e-17,27
lag_weighted,0.11547156636931213,0.11547156636931222,8.326672684688674e-17,27
active,0.1952751864225444,0.1952751864225444,0.0,28
lag_weighted,0.38504673862686,0.3850467386268596,3.885780586188048e-16,28
active,0.0813535740008087,0.0813535740008087,0.0,29
lag_weighted,0.09542298276885952,0.09542298276885952,0.0,29
active,0.07351133909067718,0.07351133909067717,1.3877787807814457e-17,30
lag_weighted,0.08755723993925885,0.08755723993925878,6.938893903907228e-17,30
active,0.08927505452056306,0.08927505452056306,0.0,31
lag_weighted,0.07960100856380996,0.07960100856380982,1.3877787807814457e-16,31
active,0.060710398450166715,0.060710398450166715,0.0,32
lag_weighted,0.06605641595376435,0.06605641595376448,1.249000902703301e-16,32
active,0.11338853766658039,0.1133885376665804,1.3877787807814457e-17,33
lag_weighted,0.10885516012962518,0.10885516012962519,1.3877787807814457e-17,33
active,0.19142910397698787,0.19142910397698787,0.0,34
lag_weighted,0.23407953602936662,0.23407953602936654,8.326672684688674e-17,34
active,0.07676974709889033,0.07676974709889033,0.0,35
lag_weighted,0.06771382519470792,0.06771382519470782,9.71445146547012e-17,35
active,0.05595912332304849,0.05595912332304849,0.0,36
lag_weighted,0.05307636834552214,0.05307636834552215,1.3877787807814457e-17,36
active,0.08807796154873129,0.08807796154873129,0.0,37
lag_weighted,0.08073099468415564,0.08073099468415561,2.7755575615628914e-17,37
active,0.0631817750205664,0.0631817750205664,0.0,38
lag_weighted,0.06581040978648076,0.0658104097864807,5.551115123125783e-17,38
active,0.06439615661148095,0.06439615661148095,0.0,39
lag_weighted,0.06032593310833084,0.06032593310833083,1.3877787807814457e-17,39
active,0.04790514894465736,0.047905148944657354,6.938893903907228e-18,40
lag_weighted,0.04927418144377187,0.04927418144377182,4.85722573273506e-17,40
active,0.539508993579655,0.539508993579655,0.0,41
lag_weighted,0.5202388421039026,0.5202388421039017,8.881784197001252e-16,41
active,0.050524686137457114,0.05052468613745713,1.3877787807814457e-17,42
lag_weighted,0.050530971065753466,0.05053097106575341,5.551115123125783e-17,42
active,0.41008821179812666,0.4100882117981266,5.551115123125783e-17,43
lag_weighted,0.34563320216241017,0.3456332021624104,2.220446049250313e-16,43
active,0.03439185628093941,0.03439185628093941,0.0,44
lag_weighted,0.3516266155701371,0.35162661557013697,1.1102230246251565e-16,44
active,0.049630316772940324,0.04963031677294033,6.938893903907228e-18,45
lag_weighted,0.04746187989023868,0.047461879890238735,5.551115123125783e-17,45
active,0.04959506044134479,0.04959506044134479,0.0,46
lag_weighted,0.05143118526101208,0.05143118526101206,1.3877787807814457e-17,46
active,0.051745512917123676,0.051745512917123676,0.0,47
lag_weighted,0.05510457985882167,0.05510457985882166,6.938893903907228e-18,47
active,0.05871683002169234,0.05871683002169235,6.938893903907228e-18,48
lag_weighted,0.06124628466866623,0.06124628466866617,6.245004513516506e-17,48
active,0.203166932899031,0.203166932899031,0.0,49
lag_weighted,0.4475319958169751,0.44753199581697684,1.7208456881689926e-15,49
active,0.1200412076310161,0.1200412076310161,0.0,50
lag_weighted,0.13068117436617596,0.13068117436617652,5.551115123125783e-16,50
