sector,loans,median_active_n,median_posting_16d_n,median_lag_kish_n,pct_below_main_thresholds
Agriculture,461563,1311.0,2028.0,2313.439342831977,0.639349341260023
Food,304913,768.0,1342.0,1512.1817981420238,0.6647797896449151
Retail,276710,800.0,1198.0,1332.9309101804672,0.6671244262946767
Housing,81853,173.0,372.0,413.96473471909184,0.4740205001649298
Services,63205,207.0,287.0,309.751248908478,0.7831658887746222
Personal Use,46323,51.0,329.0,380.4205628388722,2.9207952852794508
Clothing,41333,138.0,186.0,205.43647760655008,0.8056516584811168
Education,40302,47.0,211.0,205.7817788510981,9.753858369311697
Clean Energy,35342,17.0,170.0,194.56420718528554,33.433308811046345
Transportation,19577,78.0,111.0,124.721816528946,1.7929202635746027
Arts,18328,30.0,84.0,90.42367983394965,18.850938454823222
Health,17570,44.0,79.0,88.5769419622752,8.252703471826978
Reuse & Recycle,17133,36.0,78.0,87.7422816549682,2.282145567034378
Construction,10769,32.0,48.0,53.64381850333814,3.862939920141146
Manufacturing,9024,10.0,43.0,46.402202257811226,46.64228723404255
Sanitation & Hygiene,6905,131.0,416.0,561.9609653085508,25.459811730629976
Water,1466,2.0,6.0,7.219928474998956,99.86357435197817
Wholesale,989,3.0,5.0,5.424242972046867,98.17997977755309
Entertainment,535,1.0,3.0,3.461863079648185,100.0
