period,pool,loans,p01,p25,p50,p75,p99,pct_below_5,pct_below_10,pct_below_20
all,active,1453840.0,5.0,246.0,758.0,1242.0,3198.0,0.9917872668244099,2.02787101744346,4.169578495570351
all,posting_14d,1453840.0,31.0,412.0,1129.0,1639.0,3049.0,0.12456666483244375,0.24541902822869094,0.4671077972816816
all,posting_16d,1453840.0,36.0,463.0,1284.0,1832.0,3378.0,0.10785230836955924,0.2180432509767237,0.3849116821658504
all,lag_kish,1453840.0,13.23068634609738,483.65369944487526,1450.41158092031,2036.069134255346,3663.4932705041547,0.8417019754580972,0.9551945193418808,1.0700627304242558
all,lag_completed_kish,1453840.0,13.23068634609738,483.0832159101115,1438.5571233404958,2010.248900513599,3647.640725677019,0.8427337258570406,0.9551945193418808,1.0713696142629177
train_2016_2024,active,1316678.0,5.0,241.0,759.0,1262.0,3233.0,0.9920420938148887,2.0232737237198464,4.105255802861444
train_2016_2024,posting_14d,1316678.0,32.0,401.0,1129.0,1641.0,3044.0,0.1264546077324904,0.2433396775825221,0.43305956353793407
train_2016_2024,posting_16d,1316678.0,37.0,451.0,1285.0,1838.0,3413.0,0.10951804465480551,0.21918798673631668,0.3619715678396693
train_2016_2024,lag_kish,1316678.0,12.996494185779616,466.1729952393697,1441.6952992508818,2024.0295941234517,3676.050208478481,0.8492585127115362,0.966523326128332,1.0828767549848939
train_2016_2024,lag_completed_kish,1316678.0,12.995318017380612,465.48394866869955,1428.3706036309648,1994.3025157638613,3656.6205157021504,0.8503977434118289,0.966523326128332,1.084319780538598
holdout_2025,active,137162.0,5.0,367.0,754.0,1099.0,2213.0,0.9893410711421531,2.0720024496580685,4.787040142313469
holdout_2025,posting_14d,137162.0,23.0,536.0,1132.0,1616.0,3062.389999999985,0.10644347559819775,0.2653796240941369,0.7939516775783381
holdout_2025,posting_16d,137162.0,26.0,624.0,1271.0,1772.0,3273.0,0.09186217757104737,0.20705443198553536,0.6051238681267407
holdout_2025,lag_kish,137162.0,22.62466510781531,966.8940285425339,1513.510038939902,2136.7633298645887,2904.797685048965,0.7691634709321824,0.8464443504760795,0.9470553068634169
holdout_2025,lag_completed_kish,137162.0,22.624665107815304,966.8940285425334,1513.4573284130465,2136.7633298645897,2904.7976850489645,0.7691634709321824,0.8464443504760795,0.9470553068634169
