model,outcome,representation,vcov,n,r2,within_r2,term,coefficient,estimate,std_error,statistic,p_value,ci_low,ci_high
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.38683409971298366,CH,active_raw_CH,0.10166469106038675,0.03276562489087103,3.102785049849972,0.003307876969960155,0.03567133492888479,0.1676580471918887
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.38683409971298366,VG,active_raw_VG,0.04174754945691396,0.01361451764559013,3.066399452678104,0.0036583695572209862,0.014326503328952796,0.06916859558487512
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658593,0.25722339742119793,CH,active_raw_CH,-0.027229764586794783,0.005018139992269131,-5.426266431136743,2.199060677332554e-06,-0.037336817351102544,-0.01712271182248702
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658593,0.25722339742119793,VG,active_raw_VG,-0.005979903733165704,0.003416730640862455,-1.7501829560834947,0.08690292944537648,-0.012861552495819802,0.0009017450294883933
active_residual_text,log_funding_hours,recurring-language-removed use TF-IDF,country + week two-way CRV1,1149206,0.5567390545624271,0.37709588288699203,CH,active_residual_CH,0.05231923367117896,0.033806447419346276,1.547611111637789,0.12872068612568954,-0.01577044664214853,0.12040891398450645
active_residual_text,log_funding_hours,recurring-language-removed use TF-IDF,country + week two-way CRV1,1149206,0.5567390545624271,0.37709588288699203,VG,active_residual_VG,0.05846331080350279,0.01607657234847416,3.636553211484262,0.0007078017774087009,0.026083431954852875,0.09084318965215271
posting_14d_precommitted,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256347,0.5482143438677946,0.3610844232821544,CH,posting_14d_raw_CH,0.08933457976459294,0.019815487390618405,4.508321092666546,4.63340259453382e-05,0.04942413945882273,0.12924502007036315
posting_14d_precommitted,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256347,0.5482143438677946,0.3610844232821544,VG,posting_14d_raw_VG,0.026047968072178473,0.01598292675457012,1.6297370608127437,0.11013819047250428,-0.0061432988684355545,0.058239235012792503
posting_16d_calibrated,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256576,0.5481841236304615,0.3610180021724928,CH,posting_16d_raw_CH,0.09937839682007317,0.019431652970973923,5.114253376618031,6.282337370322466e-06,0.06024103871967802,0.1385157549204683
posting_16d_calibrated,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1256576,0.5481841236304615,0.3610180021724928,VG,posting_16d_raw_VG,0.01757758529067419,0.016364906278436116,1.0741024110743616,0.2885027014735473,-0.015383027903441437,0.05053819848478981
