model,outcome,representation,vcov,n,r2,within_r2,term,coefficient,estimate,std_error,statistic,p_value,ci_low,ci_high
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.38683409971298366,C,active_raw_Cz,0.5202465351145831,0.03972701624912699,13.095535085044693,0.0,0.4402322170570919,0.6002608531720742
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.38683409971298366,H,active_raw_Hz,0.40360517015433744,0.06344096519140421,6.361901477013199,9.047758897651192e-08,0.2758285071684584,0.5313818331402165
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.38683409971298366,CH,active_raw_CH,0.10166469106038675,0.03276562489087103,3.102785049849972,0.003307876969960155,0.03567133492888479,0.1676580471918887
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.38683409971298366,V,active_raw_Vz,0.04966644746058477,0.0704621886370836,0.7048666585761683,0.4845256650790857,-0.09225168546132681,0.19158458038249634
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.38683409971298366,G,active_raw_Gz,-0.13853188118830811,0.05834983670902314,-2.37416056327859,0.021915444074254387,-0.25605448504459566,-0.021009277332020584
active_raw_main,log_funding_hours,masked use TF-IDF,country + week two-way CRV1,1234131,0.562088261700153,0.38683409971298366,VG,active_raw_VG,0.04174754945691396,0.01361451764559013,3.066399452678104,0.0036583695572209862,0.014326503328952796,0.06916859558487512
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658593,0.25722339742119793,C,active_raw_Cz,-0.09309855759593551,0.011563207626239561,-8.051274404575562,2.9032265480566366e-10,-0.11638805326227745,-0.06980906192959356
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658593,0.25722339742119793,H,active_raw_Hz,-0.08057718908830878,0.009263461285837432,-8.698388928499146,3.395284053908654e-11,-0.09923475785688049,-0.061919620319737086
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658593,0.25722339742119793,CH,active_raw_CH,-0.027229764586794783,0.005018139992269131,-5.426266431136743,2.199060677332554e-06,-0.037336817351102544,-0.01712271182248702
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658593,0.25722339742119793,V,active_raw_Vz,-0.015419286507066922,0.014477234007596006,-1.0650713042958782,0.2925252623258272,-0.044577932583387075,0.013739359569253233
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658593,0.25722339742119793,G,active_raw_Gz,0.026906128877613057,0.01087260043798951,2.4746728283696924,0.017170464309643085,0.0050075874895110055,0.04880467026571511
active_raw_72h_lpm,funded_within_72h,masked use TF-IDF,country + week two-way CRV1,1234131,0.4174325711658593,0.25722339742119793,VG,active_raw_VG,-0.005979903733165704,0.003416730640862455,-1.7501829560834947,0.08690292944537648,-0.012861552495819802,0.0009017450294883933
