dimension,group,channel,term,estimate,std_error,ci_low,ci_high,p_value,scenario_percent_change,scenario_ci_low,scenario_ci_high,scenario_unit,n,vcov,q_value_bh
year,2016,current,CH,0.03503452933857378,0.05959543197583076,-0.08561011534911078,0.15567917402625833,0.5600953646094986,70.40488512081266,40.40960205066978,106.80797074375619,percent change in conditional geometric mean of (1 + funding hours),102466,country + week two-way CRV1,0.5600953646094986
year,2016,recent,VG,0.00468134131985713,0.013978458164140254,-0.023616567808116024,0.03297925044783028,0.739544587851499,37.15214392563515,9.045726059272615,72.50296057612967,percent change in conditional geometric mean of (1 + funding hours),102466,country + week two-way CRV1,0.8319876613329364
year,2017,current,CH,0.04106430213592487,0.04917604970999977,-0.05848740590124355,0.1406160101730933,0.4089108913772228,59.30276785000337,32.766231411288345,91.14327171083939,percent change in conditional geometric mean of (1 + funding hours),153560,country + week two-way CRV1,0.46002475279937566
year,2017,recent,VG,0.04183852466168979,0.02813476882500819,-0.015117337150669208,0.09879438647404878,0.14524614763857957,35.386020488778044,13.259828067997859,61.83473749212662,percent change in conditional geometric mean of (1 + funding hours),153560,country + week two-way CRV1,0.22694703085747014
year,2018,current,CH,0.4308840329346978,0.10299462348810902,0.2221971030905704,0.6395709627788252,0.00016926138097894672,264.88017863161525,137.39953218926297,460.8163736906512,percent change in conditional geometric mean of (1 + funding hours),145008,country + week two-way CRV1,0.0005077841429368402
year,2018,recent,VG,-0.15056851021510445,0.10275923462625104,-0.35877849692145425,0.05764147649124532,0.15129802057164676,13.062644941912282,-18.77605844987486,57.38169605290755,percent change in conditional geometric mean of (1 + funding hours),145008,country + week two-way CRV1,0.22694703085747014
year,2019,current,CH,0.029773899538413442,0.02570185983967384,-0.022458564000017302,0.08200636307684418,0.2547594924461716,88.77112444234777,61.51512383301232,120.62662973945571,percent change in conditional geometric mean of (1 + funding hours),133897,country + week two-way CRV1,0.32754791885936346
year,2019,recent,VG,-0.05336112154327647,0.018536432741833034,-0.09103168520520384,-0.0156905578813491,0.00685799470010684,25.642850714060078,9.304685983844752,44.42313971688989,percent change in conditional geometric mean of (1 + funding hours),133897,country + week two-way CRV1,0.06172195230096156
year,2020,current,CH,0.02669225709578345,0.02109031045821319,-0.01621630215940705,0.06960081635097395,0.21451322666032557,74.46966597300158,53.254888279383636,98.62116430008577,percent change in conditional geometric mean of (1 + funding hours),127092,country + week two-way CRV1,0.32176983999048836
year,2020,recent,VG,-0.06665236994984747,0.033811476187075404,-0.1354423354817964,0.0021375955821014703,0.05712348431328196,-18.54927543901039,-34.115719270125226,0.6950437648468414,percent change in conditional geometric mean of (1 + funding hours),127092,country + week two-way CRV1,0.18748504823785594
year,2021,current,CH,0.025818134915362678,0.01442315216229125,-0.003493236873507697,0.055129506704233056,0.08235580946535892,93.6231162475225,67.49333647324988,123.82926947896264,percent change in conditional geometric mean of (1 + funding hours),153895,country + week two-way CRV1,0.14824045703764605
year,2021,recent,VG,0.06074457722979876,0.03404680070607241,-0.008446846564951524,0.12993600102454905,0.08332668810571375,-10.103503387699975,-21.95177676296139,3.5434218485855986,percent change in conditional geometric mean of (1 + funding hours),153895,country + week two-way CRV1,0.18748504823785594
year,2022,current,CH,0.1912051768382599,0.027022856962407693,0.1362267609674561,0.24618359270906373,4.232002859261286e-08,84.08502223469947,45.7296206976275,132.5353984243334,percent change in conditional geometric mean of (1 + funding hours),136841,country + week two-way CRV1,3.808802573335157e-07
year,2022,recent,VG,-0.002022807983585044,0.0442485213558553,-0.0920471015715864,0.0880014856044163,0.9638131712236002,17.138249062981874,-1.359549012033745,39.10489313572915,percent change in conditional geometric mean of (1 + funding hours),136841,country + week two-way CRV1,0.9638131712236002
year,2023,current,CH,0.13623438830392084,0.023884538821622284,0.0878397157606236,0.18462906084721808,1.5812738158871298e-06,107.88792356722468,76.73254524573724,144.53554213798458,percent change in conditional geometric mean of (1 + funding hours),141311,country + week two-way CRV1,7.115732171492084e-06
year,2023,recent,VG,-0.014693979443936243,0.029575442916283657,-0.07461951897165786,0.04523156008378537,0.6222479376839469,15.113805300311087,-0.6277319442732967,33.34895569945965,percent change in conditional geometric mean of (1 + funding hours),141311,country + week two-way CRV1,0.8000330627365032
year,2024,current,CH,0.062252114754114726,0.03426787783344873,-0.007466406909161796,0.13197063641739126,0.07836636311838463,92.69786781059362,42.47479576895696,160.6248218033214,percent change in conditional geometric mean of (1 + funding hours),140028,country + week two-way CRV1,0.14824045703764605
year,2024,recent,VG,0.036776636042099305,0.019829098081491168,-0.0035659673393178062,0.07711923942351642,0.07259577215039648,11.827841839356426,-3.5080082756934083,29.601078669598596,percent change in conditional geometric mean of (1 + funding hours),140028,country + week two-way CRV1,0.18748504823785594
