dimension,group,channel,term,estimate,std_error,ci_low,ci_high,p_value,scenario_percent_change,scenario_ci_low,scenario_ci_high,scenario_unit,n,vcov,q_value_bh
country,Philippines,current,CH,0.03463288397547244,0.01382033416911344,0.00747247688307686,0.061793291067868024,0.012564710010323665,90.65467173084362,75.75583016008663,106.81648978407819,percent change in conditional geometric mean of (1 + funding hours),430016,week CRV1 within country,0.01449774231960423
country,Philippines,recent,VG,0.04064365196935959,0.017086998066119533,0.0070634347485661955,0.07422386919015297,0.01779344744533984,12.385927722735852,0.49883050888004427,25.679042095758238,percent change in conditional geometric mean of (1 + funding hours),430016,week CRV1 within country,0.05189346557667118
country,Kenya,current,CH,0.1519180789690819,0.027644807999694317,0.0975926249594356,0.20624353297872822,6.462700286036238e-08,97.32827438082327,76.2391196810302,120.94100299971413,percent change in conditional geometric mean of (1 + funding hours),231218,week CRV1 within country,2.9672863749441447e-07
country,Kenya,recent,VG,-0.03309069712875874,0.029230288924542006,-0.09053181651278339,0.024350422255265895,0.2581940227321644,-12.493824608924662,-21.484860922105888,-2.4731940680016486,percent change in conditional geometric mean of (1 + funding hours),231218,week CRV1 within country,0.3227425284152055
country,Tajikistan,current,CH,0.09073807607959977,0.024610031444415648,0.04237633193493669,0.13909982022426287,0.00025389284220800334,159.29770696735724,135.37197663257547,185.6555049605005,percent change in conditional geometric mean of (1 + funding hours),61053,week CRV1 within country,0.00042315473701333894
country,Tajikistan,recent,VG,0.00261246240027497,0.03592908275238139,-0.06799261225587218,0.07321753705642213,0.9420671245725516,-20.774659942476013,-28.43968573764817,-12.288611754567317,percent change in conditional geometric mean of (1 + funding hours),61053,week CRV1 within country,0.9438381122380284
country,Uganda,current,CH,0.06626697859956383,0.01375499945594781,0.03923639980953625,0.09329755738959142,1.97666748502634e-06,44.1881966882481,33.73646215484165,55.456752251586714,percent change in conditional geometric mean of (1 + funding hours),57292,week CRV1 within country,4.94166871256585e-06
country,Uganda,recent,VG,0.07909652275923867,0.03530635530055653,0.009714388518024322,0.14847865700045304,0.025549746439592624,-2.804699316565811,-12.700712462443617,8.213099343784334,percent change in conditional geometric mean of (1 + funding hours),57292,week CRV1 within country,0.05474945665626991
country,Cambodia,current,CH,0.08575954304916857,0.015528632627510404,0.05523644158075486,0.11628264451758227,5.8470813746325234e-08,52.35427620800907,33.48790469929558,73.88710633487683,percent change in conditional geometric mean of (1 + funding hours),54225,week CRV1 within country,2.9672863749441447e-07
country,Cambodia,recent,VG,0.1037982589681434,0.016778793173567345,0.07081784022560592,0.1367786777106809,1.4578409590626507e-09,7.520608839114162,-3.5800310822767973,19.89924343367835,percent change in conditional geometric mean of (1 + funding hours),54225,week CRV1 within country,2.186761438593976e-08
country,Madagascar,current,CH,0.10040728381119898,0.029784473061734335,0.04186367718202685,0.1589508904403711,0.0008172310206555622,81.02103694066733,52.90026770097705,114.31365888226665,percent change in conditional geometric mean of (1 + funding hours),43681,week CRV1 within country,0.0012258465309833433
country,Madagascar,recent,VG,-0.00980724130062686,0.038652430895033264,-0.08578148146562384,0.06616699886437011,0.7998279439483245,-1.4343125674092003,-15.22975603461368,14.606190623046098,percent change in conditional geometric mean of (1 + funding hours),43681,week CRV1 within country,0.9228783968634513
country,Pakistan,current,CH,0.2884590626330075,0.049492458546906086,0.19111512253281476,0.3858030027332003,1.2827301221207676e-08,106.73826616940872,74.15494345098446,145.41772890163503,percent change in conditional geometric mean of (1 + funding hours),35255,week CRV1 within country,1.9240951831811515e-07
country,Pakistan,recent,VG,-0.36414361891862695,0.10886537933072697,-0.5782648259811425,-0.15002241185611137,0.000913383582678895,14.131232512474678,-12.092106422164694,48.17711703310404,percent change in conditional geometric mean of (1 + funding hours),35255,week CRV1 within country,0.004566917913394475
country,Nicaragua,current,CH,0.42859242691672145,0.07852606556607562,0.27427547711343025,0.5829093767200126,7.912763666517719e-08,225.5894164554578,157.3329718960068,311.95058420514255,percent change in conditional geometric mean of (1 + funding hours),34544,week CRV1 within country,2.9672863749441447e-07
country,Nicaragua,recent,VG,0.11256518941272944,0.07895871510329465,-0.042601989628919146,0.26773236845437803,0.15466047772345837,-45.657624928246065,-55.85793103407393,-33.100242067975536,percent change in conditional geometric mean of (1 + funding hours),34544,week CRV1 within country,0.23199071658518755
country,Liberia,current,CH,0.1936235568121182,0.06180149376836678,0.0721308878952381,0.31511622572899833,0.001856449256619097,31.554504613592517,-4.087002844338351,80.44048457833166,percent change in conditional geometric mean of (1 + funding hours),24561,week CRV1 within country,0.0025315217135714963
country,Liberia,recent,VG,-0.13106321426997675,0.05645663103074311,-0.24204866727032737,-0.020077761269626127,0.020757386230668473,41.93981750776439,6.270290564654944,89.58178891851301,percent change in conditional geometric mean of (1 + funding hours),24561,week CRV1 within country,0.05189346557667118
country,Togo,current,CH,0.030302468523733382,0.08619692528083847,-0.13915571508248045,0.19976065212994723,0.7253623338163036,41.70498856295015,12.372214172827572,78.69456370008413,percent change in conditional geometric mean of (1 + funding hours),24091,week CRV1 within country,0.7253623338163036
country,Togo,recent,VG,0.13574994968099582,0.09445716551919417,-0.04994738981601268,0.32144728917800436,0.1514585411972973,-5.64953913606367,-27.522079836951967,22.823743358129093,percent change in conditional geometric mean of (1 + funding hours),24091,week CRV1 within country,0.23199071658518755
country,Kyrgyzstan,current,CH,0.39163357776748065,0.07744267461667058,0.2394252337017957,0.5438419218331656,6.287308873531572e-07,195.8783740336931,145.3920980654275,256.75155357887945,percent change in conditional geometric mean of (1 + funding hours),19800,week CRV1 within country,1.8861926620594716e-06
country,Kyrgyzstan,recent,VG,-0.360559654499209,0.09569141654054836,-0.5486346677271385,-0.17248464127127952,0.00018727754819702902,6.65614725296997,-14.113670230030307,32.44871188831135,percent change in conditional geometric mean of (1 + funding hours),19800,week CRV1 within country,0.0014045816114777177
country,India,current,CH,0.3033710239862563,0.10415188674541691,0.09824802545083947,0.5084940225216732,0.0039050225966772434,218.72331736708915,126.47616446383483,348.54412504722507,percent change in conditional geometric mean of (1 + funding hours),18611,week CRV1 within country,0.004881278245846554
country,India,recent,VG,-0.270486372304603,0.12479822232181027,-0.5162715075956424,-0.024701237013563526,0.031145727154139324,-36.673054377071814,-55.45655532083072,-9.968749143356687,percent change in conditional geometric mean of (1 + funding hours),18611,week CRV1 within country,0.05839823841401123
country,Senegal,current,CH,0.1631833037824502,0.13220105838080087,-0.09668571960254271,0.4230523271674431,0.2177700829486635,-10.32362677829005,-34.478024766035695,22.735187476930662,percent change in conditional geometric mean of (1 + funding hours),17956,week CRV1 within country,0.23332508887356804
country,Senegal,recent,VG,-0.14498637893287644,0.11061775844187201,-0.36242888058459577,0.07245612271884286,0.1906867193973789,-12.571901410176158,-32.7498301647768,13.660269435163269,percent change in conditional geometric mean of (1 + funding hours),17956,week CRV1 within country,0.2600273446327894
country,Honduras,current,CH,0.5378198525641804,0.11465715743174329,0.3124775107608596,0.7631621943675012,3.637529409461493e-06,265.33752986507216,138.87257411442434,458.75611180033246,percent change in conditional geometric mean of (1 + funding hours),17120,week CRV1 within country,6.820367642740299e-06
country,Honduras,recent,VG,0.00868407751241074,0.12320137016402105,-0.2334506996615795,0.25081885468640097,0.9438381122380284,-22.680176445939075,-49.69538836456201,18.843082573756597,percent change in conditional geometric mean of (1 + funding hours),17120,week CRV1 within country,0.9438381122380284
country,Sierra Leone,current,CH,0.4513645427017075,0.09478731785306983,0.2650181427581733,0.6377109426452416,2.690663063020793e-06,65.70508396701098,21.921788697385747,125.21138465796571,percent change in conditional geometric mean of (1 + funding hours),16752,week CRV1 within country,5.765706563615984e-06
country,Sierra Leone,recent,VG,-0.23689232637214447,0.09438644802898638,-0.42245063936210814,-0.051334013382180826,0.012475581027245441,-19.321813043714737,-42.3353900045297,12.876335261169944,percent change in conditional geometric mean of (1 + funding hours),16752,week CRV1 within country,0.046783428852170406
