specification,variable,source_column,n_fit,mean,std,p25,p50,p75
active_raw,C,C_active,1234131.0,6.268607499239585,1.280059743275178,5.641907070938114,6.694562058521095,7.162397497355718
active_raw,H,H_active_raw,1234131.0,0.10353925094849413,0.14825352079650603,0.026199288180702246,0.04804661736813529,0.10525517881772621
active_raw,V,V_lag,1234131.0,6.220495952343869,1.064203916814251,5.635038770176567,6.602499528775485,6.9674707496691966
active_raw,G,G_lag_raw,1234131.0,0.10324334084856523,0.15398162593855017,0.02611543155563878,0.047003383250351916,0.09704203231502216
active_residual,C,C_active,1149206.0,6.25010081904611,1.284464885151941,5.575949103146316,6.673297967767654,7.1569563646156364
active_residual,H,H_active_residual,1149206.0,0.07785669361361768,0.12887862183439236,0.020107519951724297,0.03263604676018518,0.07026458015857584
active_residual,V,V_lag,1149206.0,6.209303966261858,1.0776729991513874,5.566470498194245,6.605466039228027,6.974154961699242
active_residual,G,G_lag_residual,1149206.0,0.0779264640637278,0.13685381709750558,0.01927648572204254,0.03082265413118101,0.059790231869778304
posting_14d_raw,C,C_14d,1256348.0,6.642105508183068,1.0917256408758664,6.023447592961033,7.0431599159883405,7.412160334945205
posting_14d_raw,H,H_14d_raw,1256348.0,0.12340497020755216,0.17815517590652588,0.027421749509070052,0.052350058025965165,0.12459976543728196
posting_14d_raw,V,V_lag,1256348.0,6.182943896444521,1.0957402691648825,5.521966487623799,6.588106833147206,6.959996181583643
posting_14d_raw,G,G_lag_raw,1256348.0,0.10427687201169993,0.1547353903160531,0.02621643438401505,0.04739299665971139,0.098511334515354
posting_16d_raw,C,C_16d,1256578.0,6.764230627307488,1.0866025422370778,6.137727054086234,7.172424577124845,7.5251007461258
posting_16d_raw,H,H_16d_raw,1256578.0,0.12127871038716599,0.17547563588108098,0.027386529457075235,0.051997037145517094,0.1216798802891976
posting_16d_raw,V,V_lag,1256578.0,6.182387181065547,1.0964566857716405,5.520586431946191,6.587924294507458,6.959941868837731
posting_16d_raw,G,G_lag_raw,1256578.0,0.10428654647746,0.1547555122297246,0.02621617391823539,0.047392889784013695,0.09851925059384604
active_completed_lag_raw,C,C_active,1234131.0,6.26860749923951,1.2800597432751921,5.641907070938114,6.694562058521095,7.162397497355718
active_completed_lag_raw,H,H_active_raw,1234131.0,0.10353925094849306,0.14825352079650644,0.026199288180702246,0.04804661736813529,0.10525517881772621
active_completed_lag_raw,V,V_lag_completed,1234131.0,6.2041525766129375,1.0597422588659442,5.63069099725055,6.5894587657635375,6.942324183027896
active_completed_lag_raw,G,G_lag_completed_raw,1234131.0,0.10341765923581639,0.15426403986786172,0.02611308417774541,0.04703065037048626,0.09718248165119514
